State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
Andaman & Nicobar,Nicobar,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,2022-01-30,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,North & Middle Andaman,2022-01-30,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-01,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-03,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-04,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-05,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-06,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-07,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-08,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-09,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-10,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-11,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-12,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-13,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-14,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-15,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-16,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-17,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-18,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-19,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-20,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-21,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-22,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-23,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-24,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-25,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-26,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-27,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-28,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-29,2022,01,0,NRSC VIC MODEL
Andaman & Nicobar,South Andaman,2022-01-30,2022,01,0,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-01,2022,01,36.15170641,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-03,2022,01,35.57850051,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-04,2022,01,35.319764,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-05,2022,01,35.05562082,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-06,2022,01,34.80333605,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-07,2022,01,34.56091545,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-08,2022,01,34.33198934,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-09,2022,01,34.10926069,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-10,2022,01,33.88462994,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-11,2022,01,33.68750594,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-12,2022,01,33.48338913,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-13,2022,01,33.44702314,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-14,2022,01,33.24573922,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-15,2022,01,33.48474559,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-16,2022,01,32.90632494,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-17,2022,01,32.72923016,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-18,2022,01,32.57085161,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-19,2022,01,32.40475527,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-20,2022,01,32.23361179,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-21,2022,01,32.0636562,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-23,2022,01,31.74102261,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-22,2022,01,31.89906714,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-24,2022,01,31.59043206,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-25,2022,01,31.44096349,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-26,2022,01,31.3049646,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-27,2022,01,31.7767403,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-28,2022,01,31.64300269,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-29,2022,01,31.49256455,NRSC VIC MODEL
Andhra Pradesh,Ananthapur,2022-01-30,2022,01,31.33636868,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-01,2022,01,45.96004842,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-03,2022,01,44.73255733,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-04,2022,01,44.07918214,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-05,2022,01,43.45855733,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-06,2022,01,42.88859772,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-07,2022,01,42.33828325,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-08,2022,01,41.82744468,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-09,2022,01,41.35163529,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-10,2022,01,40.87815045,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-11,2022,01,40.42434741,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-12,2022,01,39.99769864,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-13,2022,01,39.65829926,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-14,2022,01,39.38378601,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-15,2022,01,40.39245339,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-16,2022,01,39.80764831,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-17,2022,01,39.78420877,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-18,2022,01,39.40213327,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-19,2022,01,38.99099867,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-20,2022,01,38.59240463,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-21,2022,01,38.20626425,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-23,2022,01,37.48191314,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-22,2022,01,37.83979435,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-24,2022,01,37.26841925,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-25,2022,01,37.17199404,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-26,2022,01,37.01032288,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-27,2022,01,37.07555552,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-28,2022,01,36.89540182,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-29,2022,01,36.60297416,NRSC VIC MODEL
Andhra Pradesh,Chittoor,2022-01-30,2022,01,36.30252806,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-01,2022,01,33.58354559,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-03,2022,01,33.03596891,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-04,2022,01,32.77082889,NRSC VIC MODEL
Andhra Pradesh,East Godavari,2022-01-05,2022,01,32.48888902,NRSC VIC MODEL
