state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,GUNTUR,506,142,124076,2183,126401
"ANDHRA PRADESH",28,Kakinada,746,8,73226,228,73462
"ANDHRA PRADESH",28,NTR,749,21,92506,387,92914
"ANDHRA PRADESH",28,PRAKASAM,517,27,84409,770,85206
"ANDHRA PRADESH",28,"WEST GODAVARI",523,121,109859,1707,111687
"ANDHRA PRADESH",28,Y.S.R,504,28,106942,735,107705
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",230,0,172,6,178
"ARUNACHAL PRADESH",12,"EAST KAMENG",231,0,862,6,868
"ARUNACHAL PRADESH",12,"EAST SIANG",232,0,2011,28,2039
"ARUNACHAL PRADESH",12,KAMLE,718,0,261,2,263
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",233,0,335,3,338
"ARUNACHAL PRADESH",12,LONGDING,666,0,428,4,432
"ARUNACHAL PRADESH",12,NAMSAI,678,0,2435,10,2445
"ARUNACHAL PRADESH",12,"PAKKE KESSANG",723,0,177,0,177
"ARUNACHAL PRADESH",12,"PAPUM PARE",237,15,9277,193,9485
"ARUNACHAL PRADESH",12,"WEST KAMENG",242,0,2017,18,2035
ASSAM,18,"DIMA HASAO",299,0,4852,26,4878
ASSAM,18,KARBI-ANGELONG,292,4,14397,73,14474
ASSAM,18,MARIGAON,296,4,28616,79,28699
ASSAM,18,NAGAON,297,19,56819,317,57155
ASSAM,18,UDALGURI,617,0,19705,64,19769
BIHAR,10,ARARIA,188,11,51476,357,51844
BIHAR,10,ARWAL,611,0,10169,38,10207
BIHAR,10,BHOJPUR,193,13,39001,266,39280
BIHAR,10,DARBHANGA,195,13,67084,337,67434
BIHAR,10,JEHANABAD,199,1,16631,94,16726
BIHAR,10,PATNA,212,174,214832,2337,217343
BIHAR,10,PURNIA,214,47,78044,685,78776
BIHAR,10,SARAN,218,12,57648,277,57937
CHHATTISGARH,22,BILASPUR,375,59,63539,772,64370
CHHATTISGARH,22,JASHPUR,380,3,13929,81,14013
CHHATTISGARH,22,KABIRDHAM,382,2,17012,88,17102
CHHATTISGARH,22,KOREA,384,0,9774,58,9832
CHHATTISGARH,22,MUNGELI,647,1,12675,45,12721
CHHATTISGARH,22,SURAJPUR,648,3,12249,86,12338
CHHATTISGARH,22,SURGUJA,389,9,22480,228,22717
GOA,30,"SOUTH GOA",552,26,34918,466,35410
GUJARAT,24,AMRELI,439,34,33186,455,33675
GUJARAT,24,BHAVNAGAR,443,92,85016,1332,86440
GUJARAT,24,NARMADA,452,1,8427,52,8480
GUJARAT,24,PATAN,455,26,30677,397,31100
GUJARAT,24,PORBANDAR,456,12,19909,246,20167
GUJARAT,24,"SABAR KANTHA",458,37,40881,591,41509
HARYANA,6,BHIWANI,59,33,48227,569,48829
HARYANA,6,KARNAL,67,129,100287,1459,101875
HARYANA,6,PANCHKULA,70,46,35047,680,35773
HARYANA,6,SIRSA,74,41,60436,570,61047
"HIMACHAL PRADESH",2,SOLAN,25,111,42000,931,43042
"HIMACHAL PRADESH",2,UNA,26,10,19042,202,19254
JHARKHAND,20,"EAST SINGHBHUM",327,53,77807,937,78797
JHARKHAND,20,"PAKUR ",337,3,11136,78,11217
JHARKHAND,20,"RAMGARH ",607,17,30931,207,31155
JHARKHAND,20,"WEST SINGHBHUM",343,5,22744,115,22864
KARNATAKA,29,BALLARI,528,63,58165,927,59155
KARNATAKA,29,BIDAR,529,18,48763,323,49104
KARNATAKA,29,KALABURAGI,538,31,63868,638,64537
KERALA,32,ERNAKULAM,555,251,143137,3240,146628
KERALA,32,KOLLAM,559,31,72836,894,73761
KERALA,32,PATHANAMTHIPTA,564,13,35125,309,35447
KERALA,32,THRISSUR,566,102,102745,1236,104083
"MADHYA PRADESH",23,BETUL,394,9,41823,208,42040
"MADHYA PRADESH",23,BHOPAL,396,136,151796,1671,153603
"MADHYA PRADESH",23,CHHINDWARA,399,30,62464,413,62907
"MADHYA PRADESH",23,"EAST NIMAR",405,9,33994,300,34303
"MADHYA PRADESH",23,JHABUA,412,5,23465,107,23577
"MADHYA PRADESH",23,KATNI,413,36,29870,432,30338
"MADHYA PRADESH",23,MANDLA,415,1,19547,126,19674
"MADHYA PRADESH",23,RAISEN,421,23,36385,342,36750
"MADHYA PRADESH",23,REWA,424,8,51190,293,51491
"MADHYA PRADESH",23,SAGAR,425,25,62536,430,62991
"MADHYA PRADESH",23,SEONI,428,7,31133,255,31395
"MADHYA PRADESH",23,SINGRAULI,638,5,24336,184,24525
"MADHYA PRADESH",23,UMARIA,436,2,9407,45,9454
MAHARASHTRA,27,AHMEDNAGAR,466,99,280092,1968,282159
MAHARASHTRA,27,CHANDRAPUR,473,40,85128,558,85726
MAHARASHTRA,27,GADCHIROLI,475,7,26987,145,27139
MAHARASHTRA,27,HINGOLI,477,10,42002,241,42253
MAHARASHTRA,27,"MUMBAI ",482,1959,392302,13557,407818
MAHARASHTRA,27,"NAN DED",485,42,121982,738,122762
MAHARASHTRA,27,NANDURBAR,486,13,38679,296,38988
MAHARASHTRA,27,SOLAPUR,496,75,264937,1576,266588
MAHARASHTRA,27,WARDHA,498,59,69926,381,70366
MANIPUR,14,CHURACHANDPUR,254,0,5860,18,5878
MANIPUR,14,KAKCHING,711,1,6392,15,6408
MIZORAM,15,Khawzawl,728,0,567,2,569
NAGALAND,13,Chumoukedima,758,0,3339,3,3342
NAGALAND,13,Niuland,764,0,960,0,960
NAGALAND,13,PEREN,613,0,1660,0,1660
NAGALAND,13,Shamator,765,0,578,0,578
ODISHA,21,ANGUL,344,22,43757,411,44190
ODISHA,21,JHARSUGUDA,357,15,21504,316,21835
ODISHA,21,KENDRAPARA,360,9,45681,150,45840
ODISHA,21,NAYAGARH,367,6,34710,115,34831
ODISHA,21,PURI,369,5,74877,248,75130
ODISHA,21,SONEPUR,372,2,22280,82,22364
PUNJAB,3,BARNALA,605,8,33836,212,34056
PUNJAB,3,GURDASPUR,32,16,60575,309,60900
RAJASTHAN,8,BARAN,89,21,33280,303,33604
RAJASTHAN,8,DHOLPUR,98,6,23038,148,23192
RAJASTHAN,8,"Jaipur Gramin",102,1,20462,47,20510
RAJASTHAN,8,JAISALMER,103,5,25664,136,25805
RAJASTHAN,8,JALORE,104,5,43644,235,43884
RAJASTHAN,8,JHALAWAR,105,7,47467,312,47786
