Sl. No.,State/UT,Number of e- UDID Cards Generated so far
1,Andaman and Nicobar Islands,4169
2,Andhra Pradesh,1111418
3,Arunachal Pradesh,1388
4,Assam,56661
5,Bihar,136565
6,Chandigarh,5341
7,Chhattisgarh,177857
8,Dadra & Nagar Haveli and Daman and Diu,1073
9,Delhi,7156
10,Goa,2333
11,Gujarat,246147
12,Haryana,45901
13,Himachal Pradesh,42571
14,Jammu and Kashmir,33657
15,Jharkhand,15505
16,Karnataka,301409
17,Kerala,143663
18,Ladakh,410
19,Lakshadweep,505
20,Madhya Pradesh,609798
21,Maharashtra,561534
22,Manipur,2648
23,Meghalaya,22076
24,Mizoram,3079
25,Nagaland,798
26,Odisha,386637
27,Puducherry,14355
28,Punjab,218082
29,Rajasthan,367777
30,Sikkim,2037
31,Tamil Nadu,316333
32,telangana,476093
33,Tripura,5861
34,Uttar Pradesh,587638
35,uttarakhand,11169
36,West Bengal,9
Total,Total,5919653
