Name and Address of Manager & Warden,City,State,Phone
"Managed by State Govt., Youth Hostel, Aberdeen Bazar PO, Port Blair- 744101, South Andaman, Andaman & Nicobar.",Port Blair,Andaman & Nicobar,NA
"Manager In charge, Youth Hostel, Balaji Nagar, Kadapa – 516003, YSR District, Andhra Pradesh",Kadapa,Andhra Pradesh,08562-356303 
"Manager, Youth Hostel, Vizianagaram, Andhra Pradesh",Vizianagaram,Andhra Pradesh,NA
"Manager In charge, Youth Hostel, Door No. 7-24-5, Beach Road, Beside YMCA Building, Kirlampudi Post, Vishakhapatnam -530017, Andhra Pradesh",Vishakhapatnam,Andhra Pradesh,"
0891-2568437

"
"Manager In charge, Youth Hostel, 3rd Cross Road, Veterinary Colony, Vijaywada – 520008, Krishna Distt., Andhra Pradesh.",Vijaywada,Andhra Pradesh,NA
"Manager, Youth Hostel, Tirupati, Andhra Pradesh.",Tirupati,Andhra Pradesh,"
0877-2240300"
"Managed by State Govt. Youth Hostel Roing, Arunachal Pradesh",Roing,Arunachal Pradesh,NA
"Manager In charge,Youth Hostel, PO/PS Naharlagun, A-Sector, Distt. Papum Pare, Naharalagun– 791101, Arunachal Pradesh.",Naharalagun,Arunachal Pradesh,NA
"Manager In charge, Youth Hostel, Paltan Bazar, PO. Guwahati – 781008, Assam",Guwahati,Assam,NA
"Manager In charge, Youth Hostel, C/O. Hazarapar Stadium, PO. Chandmari, Tezpur – 784001, Assam.",Tezpur,Assam,NA
"Manager In charge, Youth Hostel, Fraser Road, Near Maurya Hotel, Patna, Bihar – 800001",Patna,Bihar,"
0612-2211486"
"Manager in charge, Youth Hostel, Miramar, Panaji, Goa","Miramar, Panaji",Goa,"
0832-2465433
"
"Manager, Youth Hostel, Pedam Mapusa, Goa",Pedam Mapusa,Goa,"0832-2956600 
"
"Manager in charge, Youth Hostel, Opposite Govt. Arts & Science College, Sector - 16, Gandhinagar – 382016, Gujarat.",Gandhinagar,Gujarat,"
079-23222364"
"Manager, Youth Hostel,  Sirsa, Haryana",Sirsa,Haryana,NA
"Manager, Youth Hostel, Pipli, Kurukshetra, Haryana",Kurukshetra,Haryana,01744-230016 
"Manager In charge (DS&YAO), Youth Hostel, Tejli Sports Complex, Yamuna Nagar- 135001, Haryana",Yamuna Nagar,Haryana,NA
"Manager In charge, Youth Hostel, Near Bhim Stadium, Sadar Police Station, Bhiwani – 127021, Haryana.",Bhiwani,Haryana,NA
"Manager In charge, Youth Hostel, Behind John Hall, Civil Lines, Gurgaon– 122001, Haryana.",Gurgaon,Haryana,"
0124-2321945
"
"Managed by State Govt., Youth Hostel, Sector – 3, Near Majri Chowk, Panchkula– 134109, Haryana.",Panchkula,Haryana,NA
