state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,Annamayya,753,0,15608,25,15633
"ANDHRA PRADESH",28,CHITOOR,503,21,26798,276,27095
"ANDHRA PRADESH",28,Eluru,748,4,14043,67,14114
"ANDHRA PRADESH",28,KURNOOL,511,18,22591,212,22821
"ANDHRA PRADESH",28,Palnadu,751,0,12250,61,12311
"ANDHRA PRADESH",28,"WEST GODAVARI",523,48,28139,503,28690
"ARUNACHAL PRADESH",12,ANJAW,628,0,47,0,47
"ARUNACHAL PRADESH",12,"EAST KAMENG",231,0,264,1,265
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",233,0,101,1,102
"ARUNACHAL PRADESH",12,LEPARADA,724,0,118,0,118
"ARUNACHAL PRADESH",12,"WEST KAMENG",242,0,301,7,308
"ARUNACHAL PRADESH",12,"WEST SIANG",243,0,269,6,275
ASSAM,18,DHEMAJI,284,0,8125,22,8147
ASSAM,18,DIBRUGARH,286,2,12221,113,12336
ASSAM,18,GOLAGHAT,288,2,10850,52,10904
ASSAM,18,HAILAKANDI,289,1,4952,12,4965
ASSAM,18,JORHAT,290,10,9741,79,9830
ASSAM,18,KAMRUP,291,15,24484,159,24658
BIHAR,10,ARARIA,188,1,12129,44,12174
BIHAR,10,AURANGABAD,189,0,10864,57,10921
BIHAR,10,BHOJPUR,193,6,9175,51,9232
BIHAR,10,KATIHAR,201,1,12360,39,12400
BIHAR,10,MUZAFFARPUR,208,10,26575,114,26699
BIHAR,10,"PURBI  CHAMPARAN",213,6,23681,83,23770
BIHAR,10,SARAN,218,2,15001,40,15043
BIHAR,10,SHEOHAR,220,1,3134,1,3136
BIHAR,10,SIWAN,222,0,13896,35,13931
CHHATTISGARH,22,BALRAMPUR,649,0,1624,7,1631
CHHATTISGARH,22,"Gaurella Pendra Marwahi",734,0,1163,12,1175
CHHATTISGARH,22,JANJGIR-CHAMPA,379,7,8459,72,8538
CHHATTISGARH,22,KORBA,383,4,5023,62,5089
CHHATTISGARH,22,MAHASAMUND,385,1,5045,76,5122
CHHATTISGARH,22,RAIPUR,387,200,20894,1091,22185
CHHATTISGARH,22,"SARANGARH BILAIGARH",763,0,1883,2,1885
GOA,30,"NORTH GOA",551,24,9040,196,9260
GUJARAT,24,ANAND,440,22,17826,368,18216
GUJARAT,24,JUNAGADH,448,25,12230,436,12691
GUJARAT,24,MORBI,673,217,14054,1768,16039
GUJARAT,24,NARMADA,452,1,1537,9,1547
HARYANA,6,"CHARKI DADRI",701,6,2871,38,2915
HARYANA,6,GURUGRAM,62,234,30175,1650,32059
HARYANA,6,JIND,65,14,13310,219,13543
HARYANA,6,KARNAL,67,97,23143,747,23987
HARYANA,6,NUH,604,4,5471,50,5525
HARYANA,6,PANIPAT,71,49,25002,1165,26216
"HIMACHAL PRADESH",2,KANGRA,18,8,6895,91,6994
"HIMACHAL PRADESH",2,UNA,26,7,3383,102,3492
JHARKHAND,20,CHATRA,323,0,4435,13,4448
JHARKHAND,20,DUMKA,326,1,4599,34,4634
JHARKHAND,20,"EAST SINGHBHUM",327,17,13453,190,13660
JHARKHAND,20,"RANCHI ",339,33,21508,319,21860
KARNATAKA,29,BIDAR,529,9,8486,102,8597
KARNATAKA,29,CHITRADURGA,533,7,9070,115,9192
KARNATAKA,29,DHARWAD,536,36,20136,306,20478
KARNATAKA,29,GADAG,537,0,6845,66,6911
KARNATAKA,29,"UTTAR KANNAD",550,1,11621,85,11707
KARNATAKA,29,VIJAYANAGAR,738,1,4056,22,4079
KERALA,32,KASARAGOD,558,7,9359,98,9464
KERALA,32,PATHANAMTHIPTA,564,3,7701,57,7761
"MADHYA PRADESH",23,ASHOKNAGAR,391,2,7156,64,7222
"MADHYA PRADESH",23,BARWANI,393,11,5622,104,5737
"MADHYA PRADESH",23,BETUL,394,5,7596,44,7645
"MADHYA PRADESH",23,BURHANPUR,397,5,6666,83,6754
"MADHYA PRADESH",23,CHHATARPUR,398,4,6796,74,6874
"MADHYA PRADESH",23,GWALIOR,407,32,23383,340,23755
"MADHYA PRADESH",23,MANDSAUR,416,7,14653,148,14808
"MADHYA PRADESH",23,NIWARI,722,1,1230,13,1244
"MADHYA PRADESH",23,REWA,424,4,9272,66,9342
"MADHYA PRADESH",23,SHAHDOL,429,1,3899,21,3921
MAHARASHTRA,27,AMRAVATI,468,31,36480,264,36775
MAHARASHTRA,27,AURANGABAD,469,133,63825,865,64823
MAHARASHTRA,27,BEED,470,26,27960,195,28181
MAHARASHTRA,27,JALNA,479,36,23156,155,23347
MAHARASHTRA,27,KOLHAPUR,480,97,99926,1334,101357
MAHARASHTRA,27,"MUMBAI SUBURBAN",483,421,103142,2997,106560
MAHARASHTRA,27,NAGPUR,484,181,69091,1340,70612
MAHARASHTRA,27,RATNAGIRI,492,6,24579,108,24693
MAHARASHTRA,27,WASHIM,499,6,10559,49,10614
MANIPUR,14,CHANDEL,253,1,895,2,898
MANIPUR,14,JIRIBAM,713,0,160,1,161
MANIPUR,14,KANGPOKPI,712,0,1154,1,1155
MANIPUR,14,TAMENGLONG,258,0,803,4,807
MANIPUR,14,THOUBAL,259,0,7540,7,7547
MEGHALAYA,17,"EAST GARO HILLS",273,1,1320,2,1323
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",663,0,793,0,793
MEGHALAYA,17,"WEST KHASI HILLS",279,0,819,3,822
MIZORAM,15,CHAMPHAI,262,0,532,3,535
NAGALAND,13,Niuland,764,0,578,0,578
NAGALAND,13,PHEK,248,0,1140,0,1140
NAGALAND,13,WOKHA,250,0,1133,5,1138
ODISHA,21,BARGARH,347,7,18992,77,19076
ODISHA,21,JAGATSINGHPUR,355,0,8713,28,8741
ODISHA,21,KENDUJHAR,361,16,8536,51,8603
ODISHA,21,NAYAGARH,367,3,9575,19,9597
ODISHA,21,NUAPADA,368,0,3145,20,3165
ODISHA,21,PURI,369,1,20056,52,20109
ODISHA,21,RAYAGADA,370,0,4612,19,4631
PUNJAB,3,BATHINDA,28,17,17699,191,17907
PUNJAB,3,KAPURTHALA,35,11,10994,100,11105
PUNJAB,3,LUDHIANA,36,288,92967,3395,96650
PUNJAB,3,SANGRUR,43,17,19518,270,19805
PUNJAB,3,"SRI MUKTSAR SAHIB",39,10,9754,96,9860
PUNJAB,3,"TARN TARAN",609,5,10355,31,10391
RAJASTHAN,8,BHILWARA,92,65,40912,573,41550
RAJASTHAN,8,BUNDI,94,14,10245,51,10310
RAJASTHAN,8,JHUNJHUNU,106,4,21909,116,22029
RAJASTHAN,8,NAGAUR,110,9,35317,293,35619
RAJASTHAN,8,Shahpura,92,0,341,0,341
RAJASTHAN,8,SIKAR,114,7,33256,181,33444
