state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,"EAST GODAVARI",505,33,82231,916,83180
"ANDHRA PRADESH",28,Nandyal,755,4,48499,159,48662
"ARUNACHAL PRADESH",12,ANJAW,628,0,184,2,186
"ARUNACHAL PRADESH",12,"EAST KAMENG",231,0,598,5,603
"ARUNACHAL PRADESH",12,"EAST SIANG",232,0,1344,20,1364
"ARUNACHAL PRADESH",12,KAMLE,718,0,184,2,186
"ARUNACHAL PRADESH",12,"LOWER SIANG",719,0,238,4,242
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",236,1,1009,8,1018
"ARUNACHAL PRADESH",12,"PAPUM PARE",237,9,7071,140,7220
"ARUNACHAL PRADESH",12,"SHI YOMI",725,0,115,0,115
ASSAM,18,CACHAR,282,13,50914,245,51172
ASSAM,18,KARBI-ANGELONG,292,2,10458,59,10519
ASSAM,18,LAKHIMPUR,295,6,28478,124,28608
ASSAM,18,NAGAON,297,12,39993,238,40243
ASSAM,18,NALBARI,298,1,22128,72,22201
ASSAM,18,TAMULPUR,756,0,3141,7,3148
ASSAM,18,UDALGURI,617,0,12937,41,12978
BIHAR,10,LAKHISARAI,204,0,10844,62,10906
BIHAR,10,MADHEPURA,205,7,27140,184,27331
BIHAR,10,MUZAFFARPUR,208,23,88516,664,89203
BIHAR,10,SAMASTIPUR,217,7,63477,365,63849
BIHAR,10,SIWAN,222,1,35397,195,35593
CHHATTISGARH,22,BASTAR,374,2,15902,121,16025
CHHATTISGARH,22,BIJAPUR,636,1,2378,5,2384
CHHATTISGARH,22,BILASPUR,375,31,51568,571,52170
CHHATTISGARH,22,"Gaurella Pendra Marwahi",734,0,3999,15,4014
CHHATTISGARH,22,"MANENDRAGARH CHIRIMIRI BHARATPUR",760,0,4222,11,4233
CHHATTISGARH,22,"MOHLA MANPUR AMBAGARH CHOUKI",761,0,2126,0,2126
CHHATTISGARH,22,RAIPUR,387,205,107107,2117,109429
GUJARAT,24,BHARUCH,442,26,53857,603,54486
GUJARAT,24,"DEVBHOOMI DWARKA",674,2,14405,108,14515
GUJARAT,24,GANDHINAGAR,446,23,51726,487,52236
GUJARAT,24,KHEDA,450,3,42019,203,42225
GUJARAT,24,PORBANDAR,456,4,16071,154,16229
GUJARAT,24,"SABAR KANTHA",458,12,31478,261,31751
HARYANA,6,BHIWANI,59,7,36755,313,37075
HARYANA,6,"CHARKI DADRI",701,2,8520,80,8602
HARYANA,6,PANIPAT,71,39,59164,899,60102
HARYANA,6,ROHTAK,73,25,35937,469,36431
"HIMACHAL PRADESH",2,CHAMBA,16,2,10382,36,10420
"HIMACHAL PRADESH",2,KANGRA,18,7,36746,271,37024
"HIMACHAL PRADESH",2,MANDI,22,7,26501,151,26659
JHARKHAND,20,"BOKARO ",322,13,48285,307,48605
JHARKHAND,20,GIRIDIH,329,6,42057,179,42242
JHARKHAND,20,"GUMLA ",331,1,9914,51,9966
KARNATAKA,29,"BENGALURU (URBAN)",525,799,496381,9192,506372
KARNATAKA,29,BIDAR,529,9,40277,221,40507
KARNATAKA,29,"DAKSHIN KANNAD",534,43,75975,841,76859
KARNATAKA,29,DAVANGERE,535,18,51594,416,52028
KARNATAKA,29,DHARWAD,536,36,72087,641,72764
KARNATAKA,29,GADAG,537,2,27002,165,27169
KARNATAKA,29,KOPPAL,543,2,29124,330,29456
KARNATAKA,29,RAICHUR,546,13,40144,456,40613
KERALA,32,MALAPPURAM,562,28,72095,795,72918
"MADHYA PRADESH",23,"AGAR MALWA",667,4,21386,98,21488
"MADHYA PRADESH",23,BHIND,395,3,20993,86,21082
"MADHYA PRADESH",23,DINDORI,404,0,8500,27,8527
"MADHYA PRADESH",23,GWALIOR,407,34,79513,697,80244
"MADHYA PRADESH",23,Maihar,784,1,2566,10,2577
"MADHYA PRADESH",23,NEEMUCH,419,4,28624,179,28807
"MADHYA PRADESH",23,Pandhurna,785,0,2477,2,2479
"MADHYA PRADESH",23,SATNA,426,15,36701,285,37001
"MADHYA PRADESH",23,SHAHDOL,429,0,18590,106,18696
"MADHYA PRADESH",23,SHAJAPUR,430,16,33929,162,34107
"MADHYA PRADESH",23,SHEOPUR,431,1,7054,72,7127
"MADHYA PRADESH",23,SINGRAULI,638,3,20849,150,21002
"MADHYA PRADESH",23,TIKAMGARH,434,4,14600,87,14691
MAHARASHTRA,27,AMRAVATI,468,13,94415,564,94992
MAHARASHTRA,27,AURANGABAD,469,58,216339,1203,217600
MAHARASHTRA,27,BEED,470,16,89291,393,89700
MAHARASHTRA,27,HINGOLI,477,4,32448,188,32640
MAHARASHTRA,27,NAGPUR,484,170,250254,2456,252880
MAHARASHTRA,27,OSMANABAD,488,4,66496,218,66718
MAHARASHTRA,27,PALGHAR,665,32,169077,653,169762
MAHARASHTRA,27,SINDHUDURG,495,1,36318,79,36398
MAHARASHTRA,27,SOLAPUR,496,33,206072,1135,207240
MANIPUR,14,CHURACHANDPUR,254,0,3457,14,3471
MANIPUR,14,"IMPHAL EAST",255,1,13998,66,14065
MANIPUR,14,KANGPOKPI,712,0,1895,0,1895
MEGHALAYA,17,"SOUTH WEST  GARO HILLS",663,0,1663,6,1669
MEGHALAYA,17,"SOUTH WEST KHASI HILLS",658,0,1061,2,1063
MIZORAM,15,AIZAWL,261,4,16065,134,16203
NAGALAND,13,MOKOKCHUNG,246,0,2087,5,2092
NAGALAND,13,PHEK,248,0,1280,1,1281
ODISHA,21,JAJAPUR,356,11,43045,385,43441
ODISHA,21,KALAHANDI,358,5,27051,163,27219
ODISHA,21,"MALKANGIRI  ",364,0,11937,51,11988
ODISHA,21,NABARANGPUR,366,5,15204,122,15331
ODISHA,21,NAYAGARH,367,3,25135,96,25234
ODISHA,21,SUNDARGARH,373,54,48704,632,49390
PUNJAB,3,FAZILKA,651,8,33987,210,34205
PUNJAB,3,FIROZEPUR,31,2,35570,163,35735
PUNJAB,3,HOSHIARPUR,33,4,54783,265,55052
PUNJAB,3,MOGA,38,7,41772,202,41981
PUNJAB,3,PATHANKOT,662,5,21384,166,21555
PUNJAB,3,SANGRUR,43,9,48141,362,48512
PUNJAB,3,"TARN TARAN",609,1,27494,91,27586
RAJASTHAN,8,ALWAR,87,33,108406,849,109288
RAJASTHAN,8,BANSWARA,88,8,30924,151,31083
RAJASTHAN,8,BARMER,90,30,50282,453,50765
RAJASTHAN,8,Gangapurcity,113,0,1778,7,1785
RAJASTHAN,8,Kekri,86,0,1263,4,1267
RAJASTHAN,8,"SAWAI MADHOPUR",113,1,27234,183,27418
RAJASTHAN,8,TONK,116,7,36966,259,37232
SIKKIM,11,Gangtok,225,9,7587,90,7686
"TAMIL NADU",33,Kallakurichi,729,2,29720,97,29819
"TAMIL NADU",33,KARUR,576,8,33968,220,34196
"TAMIL NADU",33,MADURAI,578,48,131260,1000,132308
"TAMIL NADU",33,PERAMBALUR,581,3,17285,111,17399
"TAMIL NADU",33,PUDUKKOTTAI,582,5,55385,223,55613
TELANGANA,36,"JAYASHANKAR BHUPALAPALLY",687,0,10083,37,10120
TELANGANA,36,MANCHERIAL,684,2,30897,113,31012
TELANGANA,36,"MEDCHAL MALKAJGIRI",700,69,129339,1373,130781
TELANGANA,36,Narayanpet,721,0,10153,25,10178
TELANGANA,36,Nirmal,680,2,21735,88,21825
TELANGANA,36,NIZAMABAD,516,7,61635,265,61907
TELANGANA,36,VIKARABAD,698,0,25584,88,25672
TELANGANA,36,WANAPARTHY,693,0,17097,59,17156
TELANGANA,36,Warangal,522,5,39161,124,39290
TRIPURA,16,"NORTH TRIPURA",270,0,11550,44,11594
