S.No.,States/ Indicators,Infant Mortality Rate - ST,Infant Mortality Rate - All,Institutional Delivery (%) - ST,Institutional Delivery (%) - All,Prevalence of Under Weight Children under (5) Years of Age (%) (Weight for Age) - ST,Prevalence of Under Weight Children under (5) Years of Age (%) (Weight for Age) - All
1,Chhattisgarh,58,44.2,77.4,85.7,36.3,31.3
2,Jharkhand,44.4,37.9,66.4,75.8,46.4,39.4
3,Madhya Pradesh,41.3,41.3,82,90.7,39.8,33
4,Rajasthan,43.2,30.2,94,94.9,32,27.6
5,Odisha,55.9,36.3,82.8,92.2,42.1,29.7
6,Maharashtra,31.1,23.2,84.8,94.7,46.5,36.1
7,Gujarat,31.9,31.2,89.3,94.3,48.7,39.7
8,Andhra Pradesh,NA,30.2,89.3,96.5,46.3,29.6
9,West Bengal,-26.7,22,90.8,91.7,44.4,32.2
10,Karnataka,28.7,25.4,95.7,97,35.8,32.9
