collection_name,catalog_url
ANM and LHV training school,https://data.gov.in/catalog/rural-health-statistics---2015
ANM and LHV training school,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
ANM and LHV training school,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Age Specific Fertility Rates (ASFR) and Age Specific Marital Fertility Rates (ASMFR) - SRS,https://data.gov.in/catalog/age-specific-fertility-rates-(asfr)-and-age-specific-marital-fertility-rates-(asmfr)
Age Specific Fertility Rates (ASFR) and Age Specific Marital Fertility Rates (ASMFR) - SRS,https://data.gov.in/catalog/health-and-family-welfare-statistics---2017
Age Specific Fertility Rates (ASFR) and Age Specific Marital Fertility Rates (ASMFR) - SRS,https://data.gov.in/catalog/health-and-family-welfare-statistics---2019-20
All India Fertility Indicators (SRS),https://data.gov.in/catalog/health-and-family-welfare-statistics---2015
All India Fertility Indicators (SRS),https://data.gov.in/catalog/health-and-family-welfare-statistics---2017
All India level Expectation of life at birth (in years) by sex and residence,https://data.gov.in/catalog/health-and-family-welfare-statistics---2019-20
"Anaemia in Children Aged 6–59 Months by Haemoglobin Level (NFHS 3, 2005–06)",https://data.gov.in/catalog/anaemia-among-children(6-59-months)-by-haemoglobin-level
"Anaemia in Children Aged 6–59 Months by Haemoglobin Level (NFHS 3, 2005–06)",https://data.gov.in/catalog/health-and-family-welfare-statistics---2015
Annual Health Survey : Mortality Schedule,https://data.gov.in/catalog/annual-health-survey-:-mortality-schedule
Annual Health Survey : Woman Schedule (Section-I),https://data.gov.in/catalog/annual-health-survey-:-woman-schedule
Annual Health Survey : Woman Schedule (Section-II) : Description of Variables/Parameters,https://data.gov.in/catalog/annual-health-survey-:-woman-schedule
"Atleast 3 ante-natal check-up - National Family Health Survey (NFHS) 3, District Level Household and Facility Survey(DLHS) 3,Coverage Evaluation Survey- UNICEF (CES)",https://data.gov.in/catalog/ante-natal-check-up
Average number of Health Worker[Female]/ ANM per health assistant [Female]/ LHV and average rural population covered by an Health Worker(Female)/ ANM,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Average number of Health Worker[Female]/ ANM per health assistant [Female]/ LHV and average rural population covered by an Health Worker(Female)/ ANM,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Block Extension Educator at PHCS,https://data.gov.in/catalog/rural-health-statistics---2015
Block Extension Educator at PHCS,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Block Extension Educator at PHCS,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building Position for District Hospital,https://data.gov.in/catalog/rural-health-statistics---2015
Building Position for District Hospital,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building Position for Primary Health Centres,https://data.gov.in/catalog/rural-health-statistics---2015
Building Position for Primary Health Centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building Position for Primary Health Centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building Position for Sub Centres in Tribal Areas,https://data.gov.in/catalog/rural-health-statistics---2015
Building Position for Sub Centres in Tribal Areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building Position for Sub Centres in Tribal Areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
"Building Position for Sub-Centres, Primary Health Centres and Community Health Centres","https://data.gov.in/catalog/building-position-for-sub-centres,-primary-health-centres-and-community-health-centres"
Building position for CHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics---2015
Building position for CHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building position for CHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building position for PHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics---2015
Building position for PHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building position for PHCs in tribal areas,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building position for community health centres,https://data.gov.in/catalog/rural-health-statistics---2015
Building position for community health centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building position for community health centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building position for sub centres,https://data.gov.in/catalog/rural-health-statistics---2015
Building position for sub centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2013
Building position for sub centres,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Building position for sub district/ sub divisional hospital,https://data.gov.in/catalog/rural-health-statistics---2015
Building position for sub district/ sub divisional hospital,https://data.gov.in/catalog/rural-health-statistics-in-india---2014
Child feeding practices (children 3 years)-Rural - DLHS III,https://data.gov.in/catalog/district-level-household-and-facility-survey-(dlhs-3)
"Clinical, Anthropometric & Bio-chemical (CAB) 2014 Survey data","https://data.gov.in/catalog/annual-health-survey-:-clinical,-anthropometric-&-bio-chemical-(cab)-survey"
Combined Household Houselist information under Annual Health Survey,https://data.gov.in/catalog/annual-health-survey-:-combined-household-houselist-information
Crude Birth Rates in Rural and Urban Areas (SRS),https://data.gov.in/catalog/crude-birth-rate-india
Crude Birth Rates in Rural and Urban Areas (SRS),https://data.gov.in/catalog/health-and-family-welfare-statistics---2017
Crude Death Rate,https://data.gov.in/catalog/crude-death-rate-india
Current Use of Contraceptives by Currently Married Women Percentage (NFHS-3 2005-06),https://data.gov.in/catalog/current-use-of-contraceptives-methods-by-currently-married-women
Current Use of Contraceptives by Currently Married Women Percentage (NFHS-3 2005-06),https://data.gov.in/catalog/health-and-family-welfare-statistics---2015
Currently Married Women/women aged 15-49 Who had Last Live Birth/still Birth Received Two Or More TT Injections During Pregnancy,https://data.gov.in/catalog/health-and-family-welfare-statistics---2015
Currently Married Women/women aged 15-49 Who had Last Live Birth/still Birth Received Two Or More TT Injections During Pregnancy,https://data.gov.in/catalog/health-and-family-welfare-statistics---2017
Data Item Comparison Report,https://data.gov.in/catalog/hmis-all-india-level-item-wise-and-month-wise-comparison-of-various-indicators
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-chandigarh
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-a-&-n-islands
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-all-india
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-andhra-pradesh
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-arunachal-pradesh
Data Item Comparison Report,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-assam
