collection,catalog_title,catalog_url,collection_size
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of A & N Islands,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-a-&-n-islands,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of All India,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-all-india,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Andhra Pradesh,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-andhra-pradesh,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Arunachal Pradesh,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-arunachal-pradesh,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Assam,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-assam,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Bihar,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-bihar,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of Various Indicators of Chandigarh,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-chandigarh,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Chhattisgarh,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-chhattisgarh,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Dadra & Nagar Haveli,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-dadra-&-nagar-haveli,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Daman & Diu,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-daman-&-diu,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Delhi,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-delhi,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Goa,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-goa,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Gujarat,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-gujarat,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Haryana,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-haryana,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Himachal Pradesh,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-himachal-pradesh,75
HMIS district level item wise and month wise comparison of various indicators,HMIS district level item wise and month wise comparison of various indicators of Jammu & Kashmir,https://data.gov.in/catalog/hmis-district-level-item-wise-and-month-wise-comparison-of-various-indicators-of-jammu-&-kashmir,75
