Type,KPI,Fulfilled,Total,Percent
Catalog,CatalogTitle,0,86,0.0
Catalog,FieldCoverage,84,86,97.7
Catalog,DCATCompliance,51,86,59.3
Catalog,ControlledVocab,84,86,97.7
Catalog,JurisdictionComplete,86,86,100.0
Catalog,LegislationCoverage,0,86,0.0
Catalog,Multilingual,0,86,0.0
Catalog,LinkValidity,51,86,59.3
Catalog,DublinCoreCoverage,83,86,96.5
Catalog,SectorAccuracy,80,86,93.0
Catalog,DistributionIntegrity,0,86,0.0
Resource,FieldCoverage,54,54,100.0
Resource,DCATCompliance,54,54,100.0
Resource,ControlledVocab,51,54,94.4
Resource,JurisdictionComplete,54,54,100.0
Resource,LegislationCoverage,0,54,0.0
Resource,DistributionIntegrity,54,54,100.0
Resource,Multilingual,0,54,0.0
Resource,Harvestability,13,54,24.1
Resource,LinkValidity,54,54,100.0
Resource,DublinCoreCoverage,54,54,100.0
Resource,SectorAccuracy,50,54,92.6
