Reservoir_name,State,District,Basin,Subbasin,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level,Agency_name
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-01,2022,01,320.04,0.095,0.08475,318.394,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-02,2022,01,320.04,0.095,0.08361,318.211,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-03,2022,01,320.04,0.095,0.08304,318.12,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-04,2022,01,320.04,0.095,0.08304,318.12,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-05,2022,01,320.04,0.095,0.08228,317.998,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-06,2022,01,320.04,0.095,0.08113,317.815,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-07,2022,01,320.04,0.095,0.0819,317.937,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-08,2022,01,320.04,0.095,0.08285,318.089,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-09,2022,01,320.04,0.095,0.0838,318.242,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-10,2022,01,320.04,0.095,0.08285,318.089,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-11,2022,01,320.04,0.095,0.0818,317.922,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-12,2022,01,320.04,0.095,0.08066,317.739,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-13,2022,01,320.04,0.095,0.08037,317.693,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-14,2022,01,320.04,0.095,0.07932,317.525,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-15,2022,01,320.04,0.095,0.07827,317.358,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-16,2022,01,320.04,0.095,0.07711,317.175,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-17,2022,01,320.04,0.095,0.07589,316.977,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-18,2022,01,320.04,0.095,0.07439,316.733,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-19,2022,01,320.04,0.095,0.07288,316.489,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-20,2022,01,320.04,0.095,0.07128,316.23,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-21,2022,01,320.04,0.095,0.06958,315.956,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-22,2022,01,320.04,0.095,0.06789,315.681,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-23,2022,01,320.04,0.095,0.0663,315.422,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-24,2022,01,320.04,0.095,0.06469,315.148,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-25,2022,01,320.04,0.095,0.06335,314.919,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-26,2022,01,320.04,0.095,0.062,314.691,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-27,2022,01,320.04,0.095,0.06066,314.462,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-28,2022,01,320.04,0.095,0.05923,314.218,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-29,2022,01,320.04,0.095,0.05779,313.974,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-30,2022,01,320.04,0.095,0.05633,313.715,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-09,2022,01,320.04,0.095,0.0838,318.242,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-10,2022,01,320.04,0.095,0.08285,318.089,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-11,2022,01,320.04,0.095,0.0818,317.922,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-12,2022,01,320.04,0.095,0.08066,317.739,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-13,2022,01,320.04,0.095,0.08037,317.693,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-14,2022,01,320.04,0.095,0.07932,317.525,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-16,2022,01,320.04,0.095,0.07711,317.175,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-15,2022,01,320.04,0.095,0.07827,317.358,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-17,2022,01,320.04,0.095,0.07589,316.977,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-18,2022,01,320.04,0.095,0.07439,316.733,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-19,2022,01,320.04,0.095,0.07288,316.489,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-20,2022,01,320.04,0.095,0.07128,316.23,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-21,2022,01,320.04,0.095,0.06958,315.956,CWC
Aliyar Reservoir,Tamil Nadu,Coimbatore,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,2022-01-22,2022,01,320.04,0.095,0.06789,315.681,CWC
