S.No.,State Name,UDYAM,,,,UAP,,,,Total,,,
,,Manufacturing,Service,Trading,Total,Manufacturing,Service,Trading,Total,Manufacturing,Service,Trading,Total
1,ANDHRA PRADESH,175377,422900,228087,826364,91856,395409,559964,1047229,267233,818309,788051,1873593
2,ARUNACHAL PRADESH,3608,3486,5537,12631,278,976,7848,9102,3886,4462,13385,21733
3,ASSAM,141036,119413,202214,462663,34395,50254,107833,192482,175431,169667,310047,655145
4,BIHAR,261378,304858,472912,1039148,83964,405341,834157,1323462,345342,710199,1307069,2362610
5,CHHATTISGARH,66748,124627,170145,361520,53340,114126,215356,382822,120088,238753,385501,744342
6,GOA,8447,24904,18385,51736,9597,14703,4060,28360,18044,39607,22445,80096
7,GUJARAT,632796,600770,605089,1838655,133906,203394,538231,875531,766702,804164,1143320,2714186
8,HARYANA,208595,332417,302723,843735,31141,89445,190163,310749,239736,421862,492886,1154484
9,HIMACHAL PRADESH,26784,58902,70990,156676,7197,13444,12008,32649,33981,72346,82998,189325
10,JHARKHAND,86065,141040,211768,438873,42396,163654,299923,505973,128461,304694,511691,944846
11,KARNATAKA,357835,696489,401269,1455593,214869,515432,520689,1250990,572704,1211921,921958,2706583
12,KERALA,164402,285714,152500,602616,107604,180056,186660,474320,272006,465770,339160,1076936
13,MADHYA PRADESH,257036,393475,569187,1219698,116704,329332,1183970,1630006,373740,722807,1753157,2849704
14,MAHARASHTRA,968436,1785776,1551412,4305624,145705,619282,872124,1637111,1114141,2405058,2423536,5942735
15,MANIPUR,31131,21156,14580,66867,3973,6614,17662,28249,35104,27770,32242,95116
16,MEGHALAYA,3867,6544,10046,20457,203,2536,3426,6165,4070,9080,13472,26622
17,MIZORAM,4755,5113,12497,22365,271,1820,5789,7880,5026,6933,18286,30245
18,NAGALAND,8084,6197,8863,23144,1346,3473,10998,15817,9430,9670,19861,38961
19,ODISHA,174948,281048,354358,810354,65317,211482,366659,643458,240265,492530,721017,1453812
20,PUNJAB,263911,367835,341926,973672,18198,103306,109017,230521,282109,471141,450943,1204193
21,RAJASTHAN,533364,612883,700964,1847211,99366,202683,261705,563754,632730,815566,962669,2410965
22,SIKKIM,1563,4185,4553,10301,222,1936,1478,3636,1785,6121,6031,13937
23,TAMIL NADU,748078,1248452,556547,2553077,123615,336617,499137,959369,871693,1585069,1055684,3512446
24,TELANGANA,186022,477957,230552,894531,33543,179223,473510,686276,219565,657180,704062,1580807
25,TRIPURA,17251,16624,21810,55685,9001,44745,93545,147291,26252,61369,115355,202976
26,UTTAR PRADESH,663252,740882,1040619,2444753,101846,472278,1790860,2364984,765098,1213160,2831479,4809737
27,UTTARAKHAND,50965,85818,115300,252083,12039,42796,64463,119298,63004,128614,179763,371381
28,WEST BENGAL,277405,325645,442056,1045106,157954,832595,1314825,2305374,435359,1158240,1756881,3350480
29,ANDAMAN AND NICOBAR ISLANDS,2298,5851,4128,12277,226,1200,930,2356,2524,7051,5058,14633
30,CHANDIGARH,6785,19292,13850,39927,567,2988,6593,10148,7352,22280,20443,50075
31,DELHI,184010,237059,209947,631016,12991,54347,170922,238260,197001,291406,380869,869276
32,JAMMU AND KASHMIR,110199,122535,176783,409517,77495,53518,25486,156499,187694,176053,202269,566016
33,LADAKH,2502,4195,3877,10574,2367,874,676,3917,4869,5069,4553,14491
34,LAKSHADWEEP,127,349,417,893,110,8,28,146,237,357,445,1039
35,PUDUCHERRY,7265,20826,9435,37526,5589,8999,11716,26304,12854,29825,21151,63830
36,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,5220,7615,6056,18891,192,1022,2568,3782,5412,8637,8624,22673
37,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,5220,7615,6056,18891,192,1022,2568,3782,5412,8637,8624,22673
Total:-,,6646765,9920447,9247438,25814650,1799575,5660930,10767547,18228052,8446340,15581377,20014985,44042702
