exact_merge_group_id,exact_merge_group_name,ministry,catalog,n_rows,header_signature,sample_titles
243,"Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Schools by Availability of Infrastructure and Facilities, School Management and School Category (UDISE plus)",4421,"Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functi","Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19"
245,"Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management (UDISE plus)",2827,"Academic_Year,State_Code,State_Name,District_Code,District_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Up","Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19"
238,"Enrolment by Location, School Management, School Category and Social Category (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Enrolment by Location, School Management, School Category and Social Category (UDISE plus)",2781,"ac_year,state_code,state_name,district_code,district_name,block_code,block_name,sch_category_id,category_name,sch_mgmt_id,sch_mgmt_name,loc_name,caste_id,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_gi","Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2017-18 | Enrolment by Location, School Management, School Category and Social Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2017-18 | Enrolment by Location, School Management, School Category and Social Category in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2017-18"
239,"Enrolment by Location, School Management, School Category and Social Category (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Enrolment by Location, School Management, School Category and Social Category (UDISE plus)",1948,"ac_year,state_code,state_name,district_code,district_name,block_code,block_name,caste_id,caste_name,pre_primary_boys,pre_primary_girls,class_1_boys,class_2_boys,class_3_boys,class_4_boys,class_5_boys,class_6_boys,class_7_boys,class_8_boys,class_9_boys,class_10_boys,class_11_boys,class_12_boys,class_1_girls,class_2_girls,class_3_girls,class_4_girls,class_5_girls,class_6_girls,class_7_girls,class_8_girls,class_9_girls,class_10_girls,class_11_girls,class_12_girls","Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2012-13 | Enrolment by Location, School Management, School Category and Social Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2012-13 | Enrolment by Location, School Management, School Category and Social Category in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2012-13"
237,"Enrolment by Location, School Management, School Category and Social Category (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Enrolment by Location, School Management, School Category and Social Category (UDISE plus)",733,"ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl","Enrolment by Location, School Management, School Category and Social Category in Pune District of Maharashtra (UDISE plus) during 2019-20 | Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Enrolment by Location, School Management, School Category and Social Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
242,"Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Schools by Availability of Infrastructure and Facilities, School Management and School Category (UDISE plus)",733,"Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toi","Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
244,"Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management (UDISE plus)","Ministry of Education, Department of School Education and Literacy","Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management (UDISE plus)",733,"Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upp","Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Middle And North Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
670,Town Amenities,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India","Town Amenities, Census 2011",608,"State Code,State Name,District Code,District Name,Sub District Code,Sub District Name,Town Code,Town Name,Total   Households ,Total Population of Town,Total Male Population of Town,Total Female Population of Town,Total Scheduled Castes Population of Town,Total Scheduled Castes  Male Population of Town,Total Scheduled Castes  Female Population of Town,Total Scheduled Tribes Population of Town,Total Scheduled Tribes  Male Population of Town,Total Scheduled Tribes  Female Population of Town,Referen","Town Amenities for Adilabad District of Andhra Pradesh, 2011 | Town Amenities for Anantapur District of Andhra Pradesh, 2011 | Town Amenities for Chittoor District of Andhra Pradesh, 2011"
671,Village Amenities,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India","Village Amenities, Census 2011",596,"State Code,State Name,District Code,District Name,Sub District Code,Sub District Name,Village Code,Village Name,CD Block Code,CD Block Name,Gram Panchayat Code,Gram Panchayat Name,Reference Year,Sub District Head Quarter Name,Sub District Head Quarter Distance in km,District Head Quarter Name,District Head Quarter Distance in km,Nearest Statutory Town Name,Nearest Statutory Town Distance in km,Within the State/UT Name,Within the State/UT Distance in km,Outside the State/UT if nearest one is not ","Village Amenities for Adilabad District of Andhra Pradesh, 2011 | Village Amenities for Anantapur District of Andhra Pradesh, 2011 | Village Amenities for Chittoor District of Andhra Pradesh, 2011"
423,Final Population Totals,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India","Final Population Totals, Census 2001 - India and States",593,"State Code,District Code,Tahsil/ SubDistrict Code,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,Total  Persons,Total  Males,Total  Females,Scheduled Caste  Persons,Scheduled Caste  Males,Scheduled Caste  Females,Scheduled Tribe  Persons,Scheduled Tribe  Males,Scheduled Tribe  Females","Final Population Totals for Kupwara District of Jammu & Kashmir, 2001 | Final Population Totals for Baramula District of Jammu & Kashmir, 2001 | Final Population Totals for Srinagar District of Jammu & Kashmir, 2001"
