Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet, 2001 - Jammu & Kashmir | Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet, 2001 - Himachal Pradesh | Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet, 2001 - Punjab"
"Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms, 2001 - Himachal Pradesh | Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms, 2001 - Punjab"
Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples, 2001 - Jammu & Kashmir | Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples, 2001 - Himachal Pradesh | Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples, 2001 - Punjab"
"Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms, 2001 - Jammu & Kashmir | Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms, 2001 - Himachal Pradesh | Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms, 2001 - Punjab"
Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied, 2001 - Jammu & Kashmir | Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied, 2001 - Himachal Pradesh | Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied, 2001 - Punjab"
Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",97,state,True,0,97,"Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms, 2001 - Himachal Pradesh | Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms, 2001 - Punjab"
Households by Disabled Males and Household Size,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",72,state,True,0,72,"Households by Disabled Persons and Household Size, 2001 - India | Households by Disabled Persons and Household Size, 2001 - Jammu & Kashmir | Households by Disabled Persons and Household Size, 2001 - Himachal Pradesh"
Households having Children in the Age-Group 5-14 Years by Children Attending School,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",72,state,True,0,72,"Households having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - India | Households having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Jammu & Kashmir | Households having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Himachal Pradesh"
Population Classified by Place of Birth and Sex,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",72,state,True,0,72,"Population Classified by Place of Birth and Sex, 2001 - India | Population Classified by Place of Birth and Sex, 2001 - Jammu & Kashmir | Population Classified by Place of Birth and Sex, 2001 - Himachal Pradesh"
Household with Numbers of Workers by Household Size,"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",71,"year,state",True,0,71,"Household with number of workers by household size, 2011 - INDIA | Household with number of workers by household size, 2011 - JAMMU & KASHMIR | Household with number of workers by household size, 2011 - HIMACHAL PRADESH"
