Collection,ministry,n_rows,merge_add_columns,needs_review,n_header_sigs,n_missing_header,sample_titles
"Village/Town-wise Primary Census Abstract, 2011 - Aurangabad District (schema 1)","Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",578,district,False,1,0,"Village/Town-wise Primary Census Abstract, 2011 - Kupwara District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Badgam District of JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - Leh(Ladakh) District of JAMMU & KASHMIR"
State & UT-wise Number of Undertrial Prisoners by Period of Detention at the end (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,1,0,State & UT-wise Number of Undertrial Prisoners by Period of Detention at the end of 2012 | State & UT-wise Number of Undertrial Prisoners by Period of Detention at the end of 2011 | State & UT-wise Number of Undertrial Prisoners by Period of Detention at the end of 2010
"Sanctioned and Actual Strength of Civil Police Including District Armed Police as on 31.12.2000 (Men+Women) (State, UT & City -wise ) (schema 3)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,3,0,"State, UT & City-wise Sanctioned and Actual Strength of Civil Police Including District Armed Police as on 31.12.1990 (Men + Women) | State, UT & City-wise Sanctioned and Actual Strength of Civil Police Including District Armed Police as on 31.12.1990 (Women Only) | State, UT & City-wise Sanctioned and Actual Strength of Civil Police Including District Armed Police as on 31.12.1991 (Men + Women)"
Export data of major commodities through Port CHENNAI AIR,"Ministry of Commerce and Industry, Department of Commerce",6,,True,0,6,Export data of major commodities through Port CHENNAI AIR for the year 2012-13 and 2013-14 | Export data of major commodities through Port CHENNAI SEA for the year 2012-13 and 2013-14 | Export data of major commodities through Port COCHIN SEA for the year 2012-13 and 2013-14
Area wise status of mining lease distribution (Frequency in Hect) as on 31.03.2013,"Ministry of Mines, Indian Bureau of Mines",6,year,True,0,6,Area wise status of mining lease distribution (Frequency in Hect) as on 31.03.2014 | Area wise status of mining lease distribution (Frequency in Hect) as on 31.03.2013 | Area wise status of mining lease distribution (Frequency in Hect) as on 31.03.2015
Rank-Wise Police personnel killed or injured on duty (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,6,0,Rank-wise Police Personnel Killed or Injured on Duty during 2008 | Rank-wise Police Personnel Killed or Injured on Duty during 2009 | Rank-wise Police Personnel Killed or Injured on Duty during 2011
"State, UT & City-wise Disposal of Juveniles Sent to Court (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,3,0,"State, UT & City-wise Disposal of Juveniles Sent to Courts during 1987 | State, UT & City-wise Disposal of Juveniles Sent to Court during 1983 | State, UT & City-wise Disposal of Juveniles Sent to Court during 1982"
State & UT-wise Distribution of Convicts in Jails by Sex and Age-groups at the end (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,2,0,State & UT-wise Distribution of Convicts in Jails by Age Groups at the end of 2000 | State & UT-wise Distribution of Foreigners Convicts in Jails by Age Groups at the end of 2000 | State & UT-wise Distribution of Convicts in Jails by Age Groups at the end of 1999
State Level Consumer Price Index (Rural/Urban) Up to April 2017 (Base: 2012=100),Ministry of Statistics and Programme Implementation,6,,True,2,0,State Level Consumer Price Index (Rural/Urban) Up to April 2017 (Base: 2012=100) | State Level Consumer Price Index (Rural/Urban) Up to May 2017 (Base: 2012=100) | State Level Consumer Price Index (Rural/Urban) Up to June 2017 (Base: 2012=100)
"State, UT & City-Wise Persons Arrested under IPC Crime by Sex (schema 3)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,4,0,State/UT-wise Persons Arrested under SLL Crimes by Sex during 2008 | State/UT-wise Persons Arrested under SLL Crimes by Sex during 2009 | State/UT-wise Persons Arrested under SLL Crimes by Sex during 2010
List of Completed Projects under Non-Lapsable Central Pool of Resources (NLCPR) for Arunachal Pradesh for Miscellaneous,Ministry of Development of North Eastern Region,6,state,True,0,6,List of Completed Projects under Non-Lapsable Central Pool of Resources (NLCPR) for Arunachal Pradesh for Miscellaneous | List of Completed Projects under Non-Lapsable Central Pool of Resources (NLCPR) for Assam for Miscellaneous | List of Completed Projects under Non-Lapsable Central Pool of Resources (NLCPR) for Manipur for Miscellaneous
"Status of State-wise Registration under Rule 45 of MCDR, 2017 as on 31.03.2018","Ministry of Mines, Indian Bureau of Mines",6,year,True,0,6,"Status of state-wise registration under rule 45 of MCDR,1988 as on 20.03.2014 | Status of state-wise registration under rule 45 of MCDR,1988 as on 20.03.2015 | Status of state-wise registration under rule 45 of MCDR,1988 as on 31.03.2016"
"State, UT & City-wise Percentage Distribution of Suicide by Means Adopted","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,1,0,"State, UT & City-wise Percentage Distribution of Suicide by Means Adopted during 1994 | State, UT & City-wise Percentage Distribution of Suicide by Means Adopted during 1993 | State, UT & City-wise Percentage Distribution of Suicide by Means Adopted during 1992"
"State, UT & City-wise Distribution of Accidental Deaths by Natural Causes and Sex (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,1,0,"State, UT & City-wise Distribution of Accidental Deaths by Natural Causes and Sex during 1994 | State, UT & City-wise Distribution of Accidental Deaths by Natural Causes and Sex during 1993 | State, UT & City-wise Distribution of Accidental Deaths by Natural Causes and Sex during 1992"
State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,2,0,State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2017 | State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Tribe(s) during 2017 | State/UT-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2018
Crime Head-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,1,0,Crime Head-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2017 | Crime Head-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Tribe(s) during 2017 | Crime Head-wise Disposal of Persons Arrested for Crime/Atrocities against Scheduled Caste(s) during 2018
Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,,True,3,0,Crime Head-wise Court Disposal of Crime against Scheduled Caste(s) during 2017 | Crime Head-wise Court Disposal of Crime/Atrocities against Scheduled Tribe(s) during 2017 | Crime Head-wise Court Disposal of Crime against Scheduled Caste(s) during 2018
Incidence of Accidental Deaths by Causes,"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,False,1,0,Incidence of Accidental Deaths by Causes during 1994 | Incidence of Accidental Deaths by Causes during 1993 | Incidence of Accidental Deaths by Causes during 1992
City-wise Crime/Atrocities against Scheduled Castes in Metropolitan Cities (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,,True,3,0,City-wise Crime/Atrocities against Scheduled Castes in Metropolitan Cities from 2015 to 2017 | City-wise Crime/Atrocities against Scheduled Tribes in Metropolitan Cities from 2015 to 2017 | City-wise Crime/Atrocities against Scheduled Castes in Metropolitan Cities from 2016 to 2018
State/UT & Age Group-wise Victims of Murder (Section 302 IPC) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,5,0,"State/UT & Age Group-wise Victims of Murder (Section 302, 303 IPC) during 2008 | State/UT & Age Group-wise Victims of Murder (Section 302 IPC) during 2009 | State/UT & Age Group-wise Victims of Murder (Section 302 IPC) during 2010"
"State, UT & City-wise Cheating Persons (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,,True,1,0,"State, UT & City-wise Cheating Persons during 1963 | State, UT & City-wise Cheating Persons during 1961 | State, UT & City-wise Cheating Persons during 1960"
All-India level Rank-wise Police Personnel Killed or Injured on Duty (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,4,0,All-India level Rank-wise Police Personnel Killed or Injured on Duty during 1990 | All-India level Rank-wise Police Personnel Killed or Injured on Duty during 1994 | All-India level Rank-wise Police Personnel Killed or Injured on Duty during 1988
Primary schools according to type of management in Rural & Urban areas,"Ministry of Education, Department of School Education and Literacy, National Council of Educational Research and Training (NCERT)",6,year,False,1,0,Primary schools according to type of management in Rural area as on 30th September 2009 | Primary schools according to type of management in Urban area as on 30th September 2009 | Primary schools according to type of management in Rural & Urban areas as on 30th September 2009
Higher secondary schools according to type of management in Rural & Urban areas,"Ministry of Education, Department of School Education and Literacy, National Council of Educational Research and Training (NCERT)",6,year,False,2,0,Secondary schools according to type of management in Rural area as on 30th September 2009 | Secondary schools according to type of management in Urban area as on 30th September 2009 | Secondary schools according to type of management in Rural & Urban areas as on 30th September 2009
Higher secondary schools in Rural & Urban areas according to availability of facilities within school premises,"Ministry of Education, Department of School Education and Literacy, National Council of Educational Research and Training (NCERT)",6,year,False,1,0,Secondary schools in Rural area according to availability of facilities within school premises as on 30th September 2009 | Secondary schools in Urban area according to availability of facilities within school premises as on 30th September 2009 | Secondary schools in Rural & Urban areas according to availability of facilities within school premises as on 30th September 2009
"State, UT & City-wise Murder Persons (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,,True,1,0,"State, UT & City-wise Murder Persons during 1963 | State, UT & City-wise Murder Persons during 1961 | State, UT & City-wise Murder Persons during 1960"
Total Motor Vehicle Production in Selected Countries (schema 1),Ministry of Road Transport and Highways,6,,True,5,0,Total Motor Vehicles Production in Selected countries 1990-92 | Total Motor Vehicles Production in Selected countries 1991-93 | Total Motor Vehicle Production in Selected Countries 1993-95
Teachers in position in primary schools in Rural & Urban areas,"Ministry of Education, Department of School Education and Literacy, National Council of Educational Research and Training (NCERT)",6,year,False,2,0,Teachers in position in primary schools in Rural area as on 30th September 2009 | Teachers in position in primary schools in Urban area as on 30th September 2009 | Teachers in position in primary schools in Rural & Urban areas as on 30th September 2009
Crime Head-wise Disposal of Persons Arrested under IPC Crimes in Metropolitan Cities (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,3,0,Crime Head-wise Disposal of Persons Arrested under IPC Crimes in Metropolitan Cities during 2016 | Crime Head-wise Disposal of Persons Arrested under SLL Crimes in Metropolitan Cities during 2016 | Crime Head-wise Arrested Persons Disposal of Cyber Crime Cases in Metropolitan Cities during 2017
State/UT/City-wise Cases Reported and Persons Injured & Died due to Traffic Accidents (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,3,0,State/UT/City-wise Cases Reported and Persons Injured & Died due to Traffic Accidents during 2015 | State/UT and City-wise Cases Reported and Persons Injured & Died due to Traffic Accidents during 2016 | State/UT/City-wise Cases Reported and Persons Injured & Died due to Traffic Accidents during 2017
State/UT & City-wise Person Arrested under IPC Section of Cyber Crime by Age Group (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,6,0,State/UT & City-wise Person Arrested under IPC Section of Cyber Crime by Age Group during 2008 | State/UT & City-wise Person Arrested under IPC Section of Cyber Crime by Age Group during 2009 | State/UT & City-wise Person Arrested under IPC Section of Cyber Crime by Age Group during 2010
State/UT-wise Classification of Railway Accidents (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,3,0,State/UT-wise Classification of Railway Accidents during 2015 | State/UT-wise Classification of Railway Accidents during 2016 | State/UT-wise Classification of Railway Accidents during 2017
"Sanctioned and Actual Strength of Armed Police as on 31.12.2000 (Men+Women) (State, UT & City -Wise ) (schema 3)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",6,year,True,2,0,"State, UT & City-wise Sanctioned and Actual Strength of Armed Police as on 31.12.1990 (Men + Women) | State, UT & City-wise Sanctioned and Actual Strength of Armed Police as on 31.12.1990 (Women Only) | State, UT & City-wise Sanctioned and Actual Strength of Armed Police as on 31.12.1991 (Men + Women)"
Administration Of Mineral Conservation And Development Rules,"Ministry of Mines, Indian Bureau of Mines",6,year,True,0,6,"Administration of mineral conservation and development rules 1988 from  2013-2014 | Administration Of Mineral Conservation And Development Rules, 1988 | Administration of mineral conservation and development rules 1988 from 2009-10 to 2013-14"
State/UT-wise Information on Police Housing (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,4,0,State/UT-wise Information on Police Housing during 2008 | State/UT-wise Information on Police Housing during 2009 | State/UT-wise Information on Police Housing during 2010
State & UT-wise Number of Convicts by the Type of IPC Offences at the end (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,State & UT-wise Number of Convicts by the Type of IPC Offences at the end of 2011 | State & UT-wise Number of Convicts by the Type of IPC Offences at the end of 2010 | State & UT-wise Number of Convicts by the Type of IPC Offences at the end of 2009
State/ UT-wise Total Number of Road Accidents on State Highways (schema 1),Ministry of Road Transport and Highways,5,,True,5,0,State/UT wise Total Number of Road Accidents on State Highways during 2003-2012 | State/UT wise Total Number of Road Accidents on State Highways during 2003-2014 | State/UT wise Total Number of Road Accidents on State Highways during 2003-2015
State-wise Number and Area of Operational Holdings for Scheduled Castes of Large Size Group,"Ministry of Agriculture and Farmers Welfare, Department of Agriculture and Farmers Welfare",5,year,True,0,5,State-wise Number and Area of Operational Holdings for Scheduled Castes of Marginal Size Group during 2005-06 and 2010-11 | State-wise Number and Area of Operational Holdings for Scheduled Castes of Small Size Group during 2005-06 and 2010-11 | State-wise Number and Area of Operational Holdings for Scheduled Castes of Semi-medium Size during 2005-06 and 2010-11
State/UT-wise Incidence of Total IPC Crimes Reported by GRP from 2003 to 2005 and Percentage Variation (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,State/UT-wise Incidence of Total IPC Crimes reported by GRP from 2006 to 2008 and Percentage Variation | State/UT-wise Incidence of Total IPC Crimes reported by GRP from 2007 to 2009 and Percentage Variation | State/UT-wise Incidence of Total IPC Crimes Reported by GRP from 2004 to 2006 and Percentage Variation
Job Cards under MGNREGA,"Ministry of Rural Development, Department of Rural Development (DRD)",5,year,True,0,5,Job Cards under MGNREGA - 2011-12 | Job Cards under MGNREGA -2012-13 | Job Cards under MGNREGA 2013-2014
"All India Level Number of Jails, Capacity, Population and Occupancy Rate in the Country at the end (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,2,0,"All India level Number of Jails, Capacity, Population and Occupancy Rate at the end of 2015 | All India Level Number of Jails, Capacity, Population and Occupancy Rate in the Country at the end of 2014 | All India Level Number of Jails, Capacity, Population and Occupancy Rate in the Country at the end of 2013"
Block wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 3),Ministry of Jal Shakti,5,,True,2,0,Village wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94) | Village wise Construction of Deep Tubewells over the years for 3rd census of minor irrigation scheme (2000-01) | Village wise Construction of Dugwells over the years for 2nd census of minor irrigation schemes (1993-94)
"All India Level Incidence of Crime, Volume of Crime Per One Lakh of Population from 1960 to 1969 and their Percentage Variation (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,"All India level Incidence of Crime, Volume of Crime per One Lakh of Population from 1965 to 1975 and their Percentage Variation | All India level Incidence of Crime, Volume of Crime Per One Lakh of Population from 1963 to 1973 and their Percentage Variation | All India Level Incidence of Crime, Volume of Crime Per One Lakh of Population from 1962 to 1972 and their Percentage Variation"
Block wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94) (schema 2),Ministry of Jal Shakti,5,year,True,2,0,State wise Culturable Command Area and Potential Created through Deep Tubewells for 3rd census of minor irrigation scheme (2000-01) | State wise Culturable Command Area and Potential Created through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94) | State wise Culturable Command Area and Potential Created through Dugwells for 3rd census of minor irrigation scheme (2000-01)
Persons Arrested under IPC Crimes during 2000 and Percentage Variation in 2000 over (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,Persons Arrested under IPC Crimes during 2007 & 2008 and Percentage Variation in 2008 over 2007 | Persons Arrested under IPC Crimes during 2008 & 2009 and Percentage Variation in 2009 over 2008 | Persons Arrested under IPC Crimes during 2010 & 2011 and Percentage Variation in 2011 over 2010
Disposal of Persons by Courts Arrested for Committing Crimes Against Scheduled Castes (schema 5),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,4,0,Disposal of Persons Arrested by Police for Committing Crimes against Scheduled Castes during 2009 | Disposal of Persons by Police Arrested for Committing Crimes against Scheduled Castes during 2004 | Disposal of Persons by Police Arrested for Committing Crimes against Scheduled Tribes during 2004
Crime Head-wise Police Disposal of Cyber Crime Cases in Metropolitan Cities (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,City-wise Court Disposal of Cyber Crime Cases in Metropolitan Cities during 2017 | City-wise Court Disposal of SLL Crime Cases in Metropolitan Cities during 2017 | City-wise Court Disposal of Cyber Crime Cases in Metropolitan Cities during 2018
"State, UT & City-wise House Breaking Persons (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise House-Breaking Persons during 1968 | State, UT & City-wise House-Breaking Persons during 1967 | State, UT & City-wise House-Breaking Persons during 1966"
State/UT-wise Incidence & Rate of Crimes Committed Against Scheduled Castes (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,State/UT-wise Incidence & Rate of Crimes committed against Scheduled Castes during 2008 | State/UT-wise Incidence & Rate of Crimes committed against Scheduled Castes during 2009 | State/UT-wise Incidence and Rate of Crimes committed against Scheduled Castes during 2010
"State/UT, City and Age Group-wise Victims of Incest Rape, Other Rape and Total Rape Cases (Sec. 376 IPC)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,2,0,"State/UT, City and Age Group-wise Victims of Incest Rape, Other Rape and Total Rape Cases (Sec. 376 IPC) during 2008 | State/UT, City and Age Group-wise Victims of Incest Rape, Other Rape and Total Rape Cases (Sec. 376 IPC) during 2009 | State/UT, City and Age Group-wise Victims of Incest Rape, Other Rape and Total Rape Cases (Sec. 376 IPC) during 2010"
All India Level Educational Status of Suicide Victims (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,All India level Educational Status of Suicide Victims during 2000 | All India Level Educational Status of Suicide Victims during 1998 | All India Level Educational Status of Suicide Victims during 1997
"State, UT & City-wise Cheating Cases (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise Cheating Cases during 1968 | State, UT & City-wise Cheating Cases during 1967 | State, UT & City-wise Cheating Cases during 1966"
"State, UT & City-wise Distribution of Suicides by Causes (schema 3)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Distribution of Suicides by Causes during 1980 | State, UT & City-wise Distribution of Suicides by Causes during 1981 | State, UT & City-wise Distribution of Suicides by Causes during 1982"
State Wise Distribution Of Enterprises By Nature Of Operation (Fourth All India Census of MSME: Unregistered Sector),"Ministry of Micro, Small and Medium Enterprises",5,,True,0,5,State-Wise Distribution Of  Enterprises By Nature Of Activity  (Fourth All India Census of MSME: Unregistered Sector) | State Wise Distribution Of Enterprises By Nature Of Operation (Fourth All India Census of MSME: Unregistered Sector) | State Wise Distribution Of Enterprises By Type Of Organisation (Fourth All India Census of MSME: Unregistered Sector)
State & UT-wise Number of Prison Inmates Trained Under Different Vocational Trainings (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,State & UT-wise Number of Prison Inmates Trained Under Different Vocational Trainings during 2012 | State & UT-wise Number of Prison Inmates Trained Under Different Vocational Trainings during 2010 | State & UT-wise Number of Prison Inmates Trained Under Different Vocations Trainings during 2009
"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end of 2011 | State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end of 2010 | State & UT-wise Capacity of Jails, Inmate Population and Occupancy Rate at the end of 2009"
All India level Percentage of Cases Not Investigated and Pending Investigation to Total Cases for Investigation under Local and Special Laws (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"All India level Percentage of Cases Not Investigated, Pending Investigation to Total Cases for Investigation under Local & Special Laws during 1978 | All India level Percentage of Cases Not Investigated and Pending Investigation to Total Cases for Investigation under Local and Special Laws during 1975 | All India level Percentage of Cases Not Investigated and Pending Investigation to Total Cases for Investigation under Local and Special Laws during 1974"
"State, UT & City-wise Motive of Murder and Culpable Homicide Not Amounting to Murder (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,4,0,State/UT-wise Motives of Murder and Culpable Homicide not Amounting to Murder (C.H.) during 2004 | State/UT-wise Motives of Murder and Culpable Homicide not Amounting to Murder (C.H.) during 2005 | State/UT-wise Motives of Murder and Culpable Homicide not Amounting to Murder (C.H.) during 2002
"State/UT-wise Types of Prison Inmates in District Jails as on 31st December, 2019 (Sex-wise)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State/UT-wise Types of Prison Inmates in Central Jails as on 31st December, 2019 (Sex-wise) | State/UT-wise Types of Prison Inmates in District Jails as on 31st December, 2019 (Sex-wise) | State/UT-wise Types of Prison Inmates in Sub-Jails as on 31st December, 2019 (Sex-wise)"
State & UT-wise Number of Undertrial Prisoners by the Type of IPC Offences at the end (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,State & UT-wise Number of Undertrial Prisoners by the Type of IPC Offences at the end of 2011 | State & UT-wise Number of Undertrial Prisoners by the Type of IPC Offences at the end of 2010 | State & UT-wise Number of Undertrial Prisoners by the Type of IPC Offences at the end of 2009
State/UT-wise Information on Police Housing (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,4,0,State/UT-wise Information on Police Housing during 2004 | State/UT-wise Information on Police Housing during 2005 | State/UT-wise Information on Police Housing during 2002
Performance Of Indian Bureau Of Mines During Twelfth Five Year Plan (2012-13 to 2016-17) till March,"Ministry of Mines, Indian Bureau of Mines",5,year,True,0,5,"Performance Of Indian Bureau Of Mines During Twelfth Five Year Plan (2012-13 to 2016-17) till March, 2014 | Performance Of Indian Bureau of Mines During Twelfth Five Year Plan (2012-13 to 2016-17) till March, 2015 | Performance Of Indian Bureau of Mines During Twelfth Five Year Plan (2012-13 to 2016-17) till March, 2016"
Crime Head-wise Police Disposal of Cyber Crime Cases in Metropolitan Cities (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,3,0,City-wise Police Disposal of Cyber Crime Cases in Metropolitan Cities during 2017 | City-wise Police Disposal of IPC Crimes in Metropolitan Cities during 2017 | City-wise Police Disposal of Cyber Crime Cases in Metropolitan Cities during 2018
"State, UT & City-wise Distribution of Accidental Deaths by Age Groups (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Distribution of Accidental Deaths by Sex and Age-Groups during 1994 | State, UT & City-wise Distribution of Accidental Deaths by Sex and Age-Groups during 1993 | State, UT & City-wise Distribution of Accidental Deaths by Sex and Age-Groups during 1992"
Power Supply Position - October (schema 1),"Ministry of Power, Central Electricity Authority",5,,True,5,0,Power Supply Position - October 2014 | Power Supply Position - October 2016 | Power Supply Position - October 2015
"State, UT & City-wise Criminal Breach of Trust Persons (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise Criminal Breach of Trust Persons during 1968 | State, UT & City-wise Criminal Breach of Trust Persons during 1967 | State, UT & City-wise Criminal Breach of Trust Persons during 1966"
"State, UT & City-wise Distribution of Accidental Deaths by Sex (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Distribution of Accidental Deaths by Sex during 1980 | State, UT & City-wise Distribution of Accidental Deaths by Sex during 1981 | State, UT & City-wise Distribution of Accidental Deaths by Sex during 1982"
Disposal by Police of Persons Arrested For Crimes Committed Against Children (schema 2),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,"Disposal, by Police, of Persons Arrested for Crimes committed against Children during 2010 | Disposal, by Police, of Persons Arrested for Crimes Committed against Children during 2011 | Disposal by Police of Persons Arrested for Crimes Committed against Children during 2006"
"State/UT/City-wise Percentage Variation of Accidental Deaths due to Forces of Nature, Other Causes and Total Accidental Deaths (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,"State/UT and City-wise Percentage Variation of Accidental Deaths due to Forces of Nature, Other Causes and Total Accidental Deaths during 2015 and 2016 | State/UT/City-wise Percentage Variation of Accidental Deaths due to Forces of Nature, other Causes and Total Accidental Deaths during 2016 and 2017 | State/UT & City-wise Percentage Variation of Accidental Deaths due to Forces of Nature, Other Causes and Total Accidental Deaths during 2018 & 2019"
"State, UT & City-wise Suicides Classified According to Sex (schema 1)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,False,1,0,"State, UT & City-wise Suicides Classified According to Sex during 1980 | State, UT & City-wise Suicides Classified According to Sex during 1981 | State, UT & City-wise Suicides Classified according to Sex during 1982"
"State, UT & City-wise Robbery Persons (schema 2)","Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,1,0,"State, UT & City-wise Robbery Persons during 1968 | State, UT & City-wise Robbery Persons during 1967 | State, UT & City-wise Robbery Persons during 1966"
State/UT-wise Disposal of Persons Arrested under IPC Crimes by Courts (schema 5),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,2,0,State/UT-wise Disposal of Persons Arrested under IPC Crimes during 2021 | State/UT-wise Disposal of Persons Arrested under SLL Crimes during 2021 | State/UT-wise Disposal of Persons Arrested under IPC & SLL Crimes during 2021
Share of Major Countries of the World in International Tourist Arrivals,Ministry of Tourism,5,,True,5,0,Share of major countries of the world in International Tourist arrivals during 2016 and 2017 | Share of Major Countries of the World in International Tourist Arrivals during 2017 & 2018 | Share of Major Countries of the World in International Tourist Arrivals in 2018 and 2019
State/UT & City-wise Incidence of Cyber Crimes Cases Registered (Offences under IPC) (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,,True,5,0,State/UT & City-wise Incidence of Cyber Crimes Cases registered during 2008 (Offences under IPC) | State/UT & City-wise Incidence of Cyber Crimes Cases registered during 2009 (Offences under IPC) | State/UT & City-wise Incidence of Cyber Crimes Cases registered during 2010 (Offences under IPC)
State/UT-wise Police Personnel Injured on Duty (schema 1),"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",5,year,True,4,0,State/UT-wise Police Personnel Killed on Duty during 2017 | State/UT-wise Police Personnel Injured on Duty during 2017 | State/UT-wise Police Personnel Killed on Duty during 2018
