Collection,n_rows,flags,contrasting_or_subset,n_unexplained_tokens,unexplained_tokens,n_states,merge_add_columns,sample_titles
Teachers in position in higher secondary schools in Rural & Urban areas,6,"contrasting,unexplained",rural/urban,5,area areas higher rural urban,0,year,Teachers in position in secondary schools in Rural area as on 30th September 2009 | Teachers in position in secondary schools in Urban area as on 30th September 2009
Distribution (per 1000) of workers for rural and urban person (male + female) according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT,4,"contrasting,unexplained",female/male,5,female male person persons urban,0,,Distribution (per 1000) of workers for rural and urban person (male + female) according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT | Distribution (per 1000) of workers for rural female according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT
Primary schools according to number of teachers in position in rural and urban areas,3,"contrasting,unexplained",rural/urban,4,area areas rural urban,0,,Primary schools according to number of teachers in position in rural area as on 30th September 2009 | Primary schools according to number of teachers in position in urban area as on 30th September 2009
Schools belonging to different categories in Rural & Urban areas,3,"contrasting,unexplained",rural/urban,4,area areas rural urban,0,,Schools belonging to different categories in Rural area as on 30th September 2009 | Schools belonging to different categories in Urban area as on 30th September 2009
Class-wise enrolment in classes I to V in Rural & Urban areas (schema 1),3,"contrasting,unexplained",rural/urban,4,area areas rural urban,0,,Class-wise enrolment in classes I to V in Rural area as on 30th September 2009 | Class-wise enrolment in classes I to V in Urban area as on 30th September 2009
Class-wise enrolment in classes I to V in Rural & Urban areas (schema 2),3,"contrasting,unexplained",rural/urban,4,area areas rural urban,0,,Class-wise enrolment in classes VI to VIII in Rural area as on 30th September 2009 | Class-wise enrolment in classes VI to VIII in Urban area as on 30th September 2009
Class-wise enrolment in classes IX and X in Rural & Urban areas (schema 1),3,"contrasting,unexplained",rural/urban,4,area areas rural urban,0,,Class-wise enrolment in classes IX and X in Rural area as on 30th September 2009 | Class-wise enrolment in classes IX and X in Urban area as on 30th September 2009
State/UT wise total and surfaced length of Urban roads (schema 1),11,"contrasting,unexplained",rural/urban,4,31st project rural urban,1,year,"State/UT-wise Total & Surfaced Length of Project Roads as on 31 March, 2017 | State/UT-wise Total and Surfaced Length of Project Roads as on 31 March, 2016"
State/UT wise total and surfaced length of Urban roads (schema 2),4,"contrasting,unexplained",rural/urban,3,project rural urban,1,year,State/Ut-wise Total and Surfaced Length of Roads in India as on 31st March 2013 | State/Ut-wise Total and Surfaced Length of Rural Roads in India as on 31st March 2013
Distribution (per 1000) of workers for urban male according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT,3,"contrasting,unexplained",female/male,3,female male person,0,,Distribution (per 1000) of workers for urban female according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT | Distribution (per 1000) of workers for urban male according to usual status (taking both principal and subsidiary status together) by broad employment status for each State/UT
Enrolment in school education (schema 1),2,"contrasting,unexplained",sc/st,2,sc st,0,,Enrolment in school education of SC students for 2007-08 | Enrolment in school education of ST students for 2007-08
Class-wise Gender parity index (GPI) (schema 1),2,"contrasting,unexplained",sc/st,2,sc st,0,year,Class-wise Gender parity index (GPI) of SC students for 2007-08 | Class-wise Gender parity index (GPI) of ST students for 2007-08
Primary schools in Rural & Urban areas according to type of building in which majority of classes are held (schema 2),2,"contrasting,unexplained",rural/urban,2,rural urban,0,year,Primary schools in Rural area according to type of building in which majority of classes are held as on 30th September 2009 | Primary schools in Urban area according to type of building in which majority of classes are held as on 30th September 2009
State-wise estimated child population in Urban Area as on Sept,3,"contrasting,unexplained",rural/urban,2,rural urban,0,year,State-wise estimated child population in Rural Area as on Sept 2009 | State-wise estimated child population in Urban Area as on Sept 2009
State-wise unrecognised schools and teachers in them in Urban Area as on Sept (schema 1),2,"contrasting,unexplained",rural/urban,2,rural urban,0,,State-wise unrecognised schools and teachers in them - Rural Area as on Sept 2009 | State-wise unrecognised schools and teachers in them in Urban Area as on Sept 2009
State-wise enrolment (class wise) in unrecognised schools in Urban Area as on Sept,3,"contrasting,unexplained",rural/urban,2,rural urban,0,year,State-wise enrolment (class wise) in unrecognised schools in Rural Area as on Sept 2009 | State-wise enrolment (class wise) in unrecognised schools in Urban Area as on Sept 2009
Monthly Traffic and Operating Statistics of Air India Express on Scheduled Domestic Services (schema 1),37,unexplained,,26,air airways alliance asia blue carnival carriers costa dart deccan domestic express,1,,Monthly Traffic and operating Statistics of National Carriers on Non-scheduled Domestic Services during 2016-17 | Monthly Traffic and operating Statistics of Private Carriers on Non-scheduled Domestic Services during 2016-17
Female headed households classified by source and location of drinking water and availability of electricity and latrine,194,unexplained,,24,andaman andhra arunachal bengal caste classified dadra daman diu haveli himachal islands,24,state,"Households by Source and Location of Drinking Water and Availability of Electricity and Latrine, 2001 - Jammu & Kashmir | Households by Source and Location of Drinking Water and Availability of Electricity and Latrine, 2001 - Himachal Pradesh"
Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples,97,unexplained,,24,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples, 2001 - Jammu & Kashmir | Married Couples and Married Couples having Independent Sleeping Room by Dwelling Rooms Available to the Households in which they Live and by Married Couples, 2001 - Himachal Pradesh"
"Migrants By Place of Last Residence, Duration of Residence and Reason for Migration",100,unexplained,,24,age andaman andhra arunachal bengal city dadra daman diu haveli himachal islands,25,state,"Migrants By Place of Last Residence, Duration of Residence and Reason for Migration, 2001 - India | Migrants By Place of Last Residence, Duration of Residence and Reason for Migration, 2001 - Jammu & Kashmir"
Scheduled Caste Households by Source of Drinking Water and its Location,64,"unexplained,geo_unnamed",,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,year,"Scheduled Caste Households by main source of drinking water and its location, 2011 | Scheduled Tribe Households by main source of drinking water and its location, 2011"
Household with Numbers of Workers by Household Size,71,unexplained,,23,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,28,"year,state","Household with number of workers by household size, 2011 - INDIA | Household with number of workers by household size, 2011 - JAMMU & KASHMIR"
Households by Size and Female Members Seeking/Available for Work,142,unexplained,,23,andaman andhra arunachal bengal dadra daman diu female haveli himachal islands jammu,28,"year,state","Households by size and number of members seeking/available for work, 2011 - INDIA | Households by size and number of members seeking/available for work, 2011 - JAMMU & KASHMIR"
Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied,97,unexplained,,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied, 2001 - Jammu & Kashmir | Households and 1000 Population by Availability of Electricity and Toilet Facilities and Ownership Status of House Occupied, 2001 - Himachal Pradesh"
Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet,97,unexplained,,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet, 2001 - Jammu & Kashmir | Households by Availability of Bathroom & Type of Latrine within the House and Type of Drainage Connectivity for Waste Water Outlet, 2001 - Himachal Pradesh"
"Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms",97,unexplained,,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms, 2001 - Jammu & Kashmir | Households by Married Couples in a Household and Dwelling Rooms, Total Married Couples and Married Couples having Independent Sleeping Rooms, 2001 - Himachal Pradesh"
"Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms",97,unexplained,,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Ownership Status of Census Houses, Size of the Household and Dwelling Rooms, 2001 - Himachal Pradesh"
Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms,97,unexplained,,23,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Ownership Status of the Census Houses Occupied by them and Dwelling Rooms, 2001 - Himachal Pradesh"
Households by Source of Drinking Water and its Location,36,"unexplained,geo_unnamed",,22,andaman andhra arunachal bengal dadra daman diu haveli himachal islands its jammu,24,year,"Households by main source of drinking water and location, 2011 | Households by Source of Drinking Water and its Location, 2001 - Jammu & Kashmir"
Education Level by Age and Sex for Population Age 7 and Above,63,unexplained,,22,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Education Level by Age and Sex for Population Age 7 and Above, 2001 - India | Education Level by Age and Sex for Population Age 7 and Above, 2001 - Jammu & Kashmir"
Education Level Graduate and Above by Sex for Population Age 15 and Above,64,unexplained,,22,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Education Level Graduate and Above by Sex for Population Age 15 and Above, 2001 - India | Education Level Graduate and Above by Sex for Population Age 15 and Above, 2001 - Jammu & Kashmir"
Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking,62,unexplained,,22,andaman andhra arunachal bengal caste dadra daman diu haveli himachal islands jammu,24,state,"Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Jammu & Kashmir | Scheduled Caste Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Himachal Pradesh"
Households by Disabled Males and Household Size,72,unexplained,,22,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Households by Disabled Persons and Household Size, 2001 - India | Households by Disabled Persons and Household Size, 2001 - Jammu & Kashmir"
Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School,64,unexplained,,22,andaman andhra arunachal bengal castes dadra daman diu haveli himachal islands jammu,25,state,"Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - India | Households Belonging to Scheduled Castes having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Jammu & Kashmir"
Monthly Traffic and Operating Statistics of Air India Express on Scheduled Domestic Services (schema 3),30,unexplained,,21,air airways alliance asia blue carnival carriers costa dart domestic express go,1,,"Monthly Traffic and Operating Statistics of Air Asia on Scheduled Domestic Services upto August, 2017 | Monthly Traffic and Operating Statistics of Air Carnival on Scheduled Domestic Services upto April, 2017"
Households by Source of Lighting,36,"unexplained,geo_unnamed",,21,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,year,"Households by main source of lighting, 2011 | Households by Source of Lighting, 2001 - Jammu & Kashmir"
Scheduled Tribe Households by Source of Lighting,31,"unexplained,geo_unnamed",,21,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,year,"Scheduled Tribe Households by main source of lighting, 2011 | Scheduled Tribe Households by Source of Lighting, 2001 - Jammu & Kashmir"
Educational Level by Age and Sex,35,unexplained,,21,andaman andhra arunachal bengal dadra daman diu haveli himachal island jammu kashmir,24,state,"Educational level by age and sex for population age 7 and above, 2001 - JAMMU & KASHMIR | Educational level by age and sex for population age 7 and above, 2001 - HIMACHAL PRADESH"
Ever married and currently married population by age at marriage and duration of marriage for Scheduled Tribes,32,"unexplained,geo_unnamed",,21,andaman andhra arunachal bengal dadra daman diu haveli himachal island islands jammu,20,,"Ever married and currently married population by age at marriage and duration of marriage for Scheduled Tribes, 2011 - ANDAMAN & NICOBAR ISLAND | Ever Married and Currently Married Population by Age At Marriage and Duration Of Marriage for Scheduled Tribes, 2001 -India"
Households having Children in the Age-Group 5-14 Years by Children Attending School,72,unexplained,,21,andaman andhra arunachal bengal dadra daman diu female haveli himachal islands jammu,25,state,"Households having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - India | Households having Children in the Age-Group 5-14 Years by Children Attending School, 2001 - Jammu & Kashmir"
Population Classified by Place of Birth and Sex,72,unexplained,,21,age andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu,25,state,"Population Classified by Place of Birth and Sex, 2001 - India | Population Classified by Place of Birth and Sex, 2001 - Jammu & Kashmir"
Details of Annual Traffic and Operating Statistics on International Scheduled Services of Air India Express (schema 1),55,unexplained,,20,air airways alliance asia bluedart cargo costa domestic express go indigo international,1,,Details of Annual Traffic and Operating Statistics on Domestic Scheduled Services of Air Asia from 2007-08 to 2015-16 | Details of Annual Traffic and Operating Statistics on Domestic Scheduled Services of Air Costa from 2007-08 to 2015-16
State and Year-wise Physical and Financial Progress of PMMSY scheme,108,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,26,"year,state",State and Year-wise Physical and Financial Progress of PMMSY scheme - Andaman and Nicobar Islands - 2022-23 | State and Year-wise Physical and Financial Progress of PMMSY scheme - Gujarat - 2022-23
List of MSME Registered Units under Udyog Aadhaar Memorandum,36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,List of MSME Registered Units under Udyog Aadhaar Memorandum - Andhra Pradesh | List of MSME Registered Units under Udyog Aadhaar Memorandum - Arunachal Pradesh
Number of Newly Registered Motor Vehicles in 2009-10 and 2010-11 and Number of Registered Motor Vehicles,68,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,23,state,"Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Andaman and Nicobar Islands | Number of Newly Registered Motor Vehicles in 2011-12 and Number of Registered Motor Vehicles as on 31st March, 2012 in Andhra Pradesh"
"Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on",35,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,"Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on 2007,2008 and 2009 in Andhra Pradesh | Number of Newly Registered Motor Vehicles in 2006-07, 2007-08 and 2008-09 and Number of Registered Motor Vehicles as on 2007,2008 and 2009 in Arunachal Pradesh"
Number of Newly Registered Motor Vehicles in 2002-03 and 2003-04 and Number of Registered Motor Vehicles as on 31st March 2003 and 31st March,70,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,Number of Newly Registered Motor Vehicles in 2004-05 and 2005-06 and Number of Registered Motor Vehicles as on 31st March 2005 and 31st March 2006 in Andhra Pradesh | Number of Newly Registered Motor Vehicles in 2004-05 and 2005-06 and Number of Registered Motor Vehicles as on 31st March 2005 and 31st March 2006 in Arunachal Pradesh
Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at 2004-05 Prices - From 2004-05 to 2013-14 (as on 01.03.2014) (schema 1),263,unexplained,,20,andaman andhra arunachal bengal chattisgarh current gross himachal islands jammu kashmir madhya,24,state,Andhra Pradesh Gross State Domestic Product at Factor Cost by Industry of Origin at Current Prices - From 2004-05 to 2014-15 (as on 27.02.2015) | Andaman & Nicobar Islands Gross State Domestic Product at Factor Cost by Industry of Origin at Current Prices - From 2004-05 to 2013-14 (as on 27.02.2015)
Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking,36,"unexplained,geo_unnamed",,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,,"Households by availability of separate kitchen and type of fuel used for cooking, 2011 | Households by Availability of Separate Kitchen and Type of Fuel Used for Cooking, 2001 - Jammu & Kashmir"
Occupational Classification of Main Workers Other than Cultivators and Agricultural Labourers by Sex for Scheduled Tribes,31,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,20,state,"Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex for Scheduled Tribes, 2001 -India | Occupational Classification of Main Workers other than Cultivators and Agricultural Labourers by Sex for Scheduled Tribes, 2001 -Jammu & Kashmir"
Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community,35,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,"Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community, 2001 - India | Details of Sects/Beliefs/Religions Clubbed Under Specific Religious Community, 2001 - Jammu & Kashmir"
Details of Religious Communities Shown Under 'Other Religions And Persuasions',34,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,23,state,"Details of Religious Communities Shown Under 'Other Religions And Persuasions', 2001 - India | Details of Religious Communities Shown Under 'Other Religions And Persuasions', 2001 - Jammu & Kashmir"
"Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Tribes, 2001 -Dadra & Nagar Haveli",31,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,20,state,"Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Tribes, 2001 -India | Population Ages 5-19 Attending Educational Institutions by Economic Activity Status and Sex for Scheduled Tribes, 2001 -Jammu & Kashmir"
Education Level by Age and Sex for Scheduled Tribes Age 7 and Above,31,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,20,state,"Education Level by Age and Sex for Scheduled Tribes Age 7 and Above, 2001 - India | Education Level by Age and Sex for Scheduled Tribes Age 7 and Above, 2001 - Jammu & Kashmir"
Education Level Graduate and Above by Sex for Scheduled Tribe Age 15 and Above,31,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,20,state,"Education Level Graduate and Above by Sex for Scheduled Tribe Age 15 and Above, 2001 - India | Education Level Graduate and Above by Sex for Scheduled Tribe Age 15 and Above, 2001 - Jammu & Kashmir"
Households Availing Banking Services and Households having Each of the Specified Asset,35,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,"Households Availing Banking Services and Households having Each of the Specified Asset, 2001 - Jammu & Kashmir | Households Availing Banking Services and Households having Each of the Specified Asset, 2001 - Himachal Pradesh"
Scheduled Tribe Households Availing Banking Services and Scheduled Tribe Households having Each of the Specified Asset,30,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,state,"Scheduled Tribe Households Availing Banking Services and Scheduled Tribe Households having Each of the Specified Asset, 2001 - Jammu & Kashmir | Scheduled Tribe Households Availing Banking Services and Scheduled Tribe Households having Each of the Specified Asset, 2001 - Himachal Pradesh"
Households by Disabled Females and Household Size,36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Households by Disabled Females and Household Size, 2001 - India | Households by Disabled Females and Household Size, 2001 - Jammu & Kashmir"
Scheduled Tribe Households by Size and Dwelling Rooms,30,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,state,"Scheduled Tribe Households by Size and Dwelling Rooms, 2001 - Jammu & Kashmir | Scheduled Tribe Households by Size and Dwelling Rooms, 2001 - Himachal Pradesh"
Households by Size and Dwelling Rooms,35,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,"Households by Size and Dwelling Rooms, 2001 - Jammu & Kashmir | Households by Size and Dwelling Rooms, 2001 - Himachal Pradesh"
Persons Born and Enumerated in Districts of the State,35,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,24,state,"Persons Born and Enumerated in Districts of the State, 2001 - Jammu & Kashmir | Persons Born and Enumerated in Districts of the State, 2001 - Himachal Pradesh"
Persons Born and Enumerated in Districts of the State/UT for Scheduled Tribe,30,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,state,"Persons Born and Enumerated in Districts of the State/UT for Scheduled Tribe, 2001 - Jammu & Kashmir | Persons Born and Enumerated in Districts of the State/UT for Scheduled Tribe, 2001 - Himachal Pradesh"
"Migrants Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration",36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration, 2001 - India | Migrants Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration, 2001 - Jammu & Kashmir"
"Migrants within the State/UT Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration for Scheduled Tribe",30,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,state,"Migrants within the State/UT Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration for Scheduled Tribe, 2001 - Jammu & Kashmir | Migrants within the State/UT Classified by Place of Last Residence, Sex and Duration of Residence in Place of Enumeration for Scheduled Tribe, 2001 - Himachal Pradesh"
"Migrants within the State/UT by Place of Last Residence, Duration of Residence and Reason of Migration for Scheduled Tribe",30,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,19,state,"Migrants within the State/UT by Place of Last Residence, Duration of Residence and Reason of Migration for Scheduled Tribe, 2001 - Jammu & Kashmir | Migrants within the State/UT by Place of Last Residence, Duration of Residence and Reason of Migration for Scheduled Tribe, 2001 - Himachal Pradesh"
Households with Workers and Main Workers,36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Households with Workers and Main Workers, 2001 - India | Households with Workers and Main Workers, 2001 - Jammu & Kashmir"
"Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level",36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level, 2001 - India | Migrants by Place of Last Residence with Duration 0-9 Years Reporting 'Work/Employment' as Reason for Migration by Age, Sex and Educational Level, 2001 - Jammu & Kashmir"
Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age,36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age, 2001 - India | Migrants by Place of Last Residence with Duration of Residence as 0-9 Years and Age, 2001 - Jammu & Kashmir"
"Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence",36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence, 2001 - India | Migrants by Place of Last Residence, Age, Sex, Educational Level and Duration of Residence, 2001 - Jammu & Kashmir"
"Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years",36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years, 2001 - India | Migrants by Place of Last Residence, Age, Sex, Marital Status and Duration of Residence 0-9 Years, 2001 - Jammu & Kashmir"
"Migrants by Place of Last Residence, Economic Activity, Age, Sex and Duration of Residence",36,unexplained,,20,andaman andhra arunachal bengal dadra daman diu haveli himachal islands jammu kashmir,25,state,"Migrants by Place of Last Residence, Economic Activity, Age, Sex and Duration of Residence, 2001 - India | Migrants by Place of Last Residence, Economic Activity, Age, Sex and Duration of Residence, 2001 - Jammu & Kashmir"
Annual Comparative Statement of Traffic on Total Scheduled (International+Domestic) Services of Air Asia (schema 2),19,unexplained,,19,air airways asia bluedart cargo carnival costa domestic express go indigo jet,1,,Annual Comparative Statement of Traffic on International scheduled Services of Air India from 2014-15 to 2016-17 | Annual Comparative Statement of Traffic on International scheduled Services of Air India Express from 2014-15 to 2016-17
