Collection,n_rows,flags,contrasting_or_subset,n_unexplained_tokens,unexplained_tokens,n_states,merge_add_columns,sample_titles
Households by Female Literates Among Female Members of the Household Age 7 Years and Above,143,"contrasting,unexplained",female/male,24,andaman andhra arunachal bengal dadra daman diu female haveli himachal islands jammu,28,"year,state","Households by number of literates among the members of household age 7 years and above, 2011 - INDIA | Households by number of literates among the members of household age 7 years and above, 2011 - JAMMU & KASHMIR"
Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above,192,"contrasting,unexplained",female/male,24,andaman andhra arunachal bengal castes dadra daman diu female haveli himachal islands,25,state,"Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above, 2001 - India | Households Belonging to Scheduled Castes by Female Literates Among Female Members of the Household Age 7 Years and Above, 2001 - Jammu & Kashmir"
State/UT-wise Percentage of Schools having Functional Girls Toilets by Management,6,"contrasting,unexplained",boys/girls,6,boys cwsn friendly girls ut uts,0,year,State/UT-wise Percentage of Schools having functional Girls Toilets by Management during 2021-22 | State/UTs-wise Percentage of Schools having Functional Toilets by Management during 2023-24
State/UT-wise Complaints Received by OBC Commission and their disposal,3,"contrasting,unexplained",sc/st,6,commission commissions obc other sc st,0,,State/UT-wise Complaints Received by SC/ST Commission and their disposal during 2019-2021 | State/UT-wise Complaints Received by OBC Commission and their disposal during 2019-2021
Class-wise Gross enrolment ratio (GER) (schema 1),3,"contrasting,unexplained",sc/st,5,area rural sc st students,0,year,Class-wise Gross enrolment ratio (GER) of SC students for 2007-08 | Class-wise Gross enrolment ratio (GER) of ST students for 2007-08
Primary schools according to type of management in Rural & Urban areas,6,"contrasting,unexplained",rural/urban,5,area areas rural upper urban,0,year,Primary schools according to type of management in Rural area as on 30th September 2009 | Primary schools according to type of management in Urban area as on 30th September 2009
Higher secondary schools according to type of management in Rural & Urban areas,6,"contrasting,unexplained",rural/urban,5,area areas higher rural urban,0,year,Secondary schools according to type of management in Rural area as on 30th September 2009 | Secondary schools according to type of management in Urban area as on 30th September 2009
Degree colleges having classes XI and XII according to type of management in Rural & Urban areas,3,"contrasting,unexplained",rural/urban,5,area areas rural uban urban,0,,Degree colleges having classes XI and XII according to type of management in Rural area as on 30th September 2009 | Degree colleges having classes XI and XII according to type of management in Uban area as on 30th September 2009
Primary schools in Rural & Urban areas according to type of building in which majority of classes are held (schema 1),4,"contrasting,unexplained",rural/urban,5,area areas rural upper urban,0,year,Primary schools in Rural & Urban areas according to type of building in which majority of classes are held as on 30th September 2009 | Upper primary schools in Rural area according to type of building in which majority of classes are held as on 30th September 2009
Higher secondary schools in Rural & Urban areas according to type of building in which majority of classes are held,6,"contrasting,unexplained",rural/urban,5,area areas higher rural urban,0,year,Secondary schools in Urban area according to type of building in which majority of classes are held as on 30th September 2009 | Secondary schools in Rural area according to type of building in which majority of classes are held as on 30th September 2009
Primary schools in Rural & Urban areas according to availability of facilities within school premises,6,"contrasting,unexplained",rural/urban,5,area areas rural upper urban,0,year,Primary schools in Rural area according to availability of facilities within school premises as on 30th September 2009 | Primary schools in Urban area according to availability of facilities within school premises as on 30th September 2009
Higher secondary schools in Rural & Urban areas according to availability of facilities within school premises,6,"contrasting,unexplained",rural/urban,5,area areas higher rural urban,0,year,Secondary schools in Rural area according to availability of facilities within school premises as on 30th September 2009 | Secondary schools in Urban area according to availability of facilities within school premises as on 30th September 2009
Teachers in position in primary schools in Rural & Urban areas,6,"contrasting,unexplained",rural/urban,5,area areas rural upper urban,0,year,Teachers in position in primary schools in Rural area as on 30th September 2009 | Teachers in position in primary schools in Urban area as on 30th September 2009
