ministry,proposed_new_catalog_title,n_catalogs,original_catalog_titles
"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",Crime,67,Crime in India - 1953 | Crime in India - 1954 | Crime in India - 1955 | Crime in India - 1956 | Crime in India - 1957 | Crime in India - 1958 | Crime in India - 1959 | Crime in India - 1960 | Crime in India - 1961 | Crime in India - 1963 | Crime in India - 1964 | Crime in India - 1965 | Crime in India - 1966 | Crime in India - 1967 | Crime in India - 1968 | Crime in India - 1969 | Crime in India - 1970 | Crime in India - 1971 | Crime in India - 1972 | Crime in India - 1973
"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",Accidental Deaths & Suicides in India (ADSI),37,Accidental Deaths & Suicides in India (ADSI) - 1967 | Accidental Deaths & Suicides in India (ADSI) - 1968 | Accidental Deaths & Suicides in India (ADSI) - 1969 | Accidental Deaths & Suicides in India (ADSI) - 1970 | Accidental Deaths & Suicides in India (ADSI) - 1971 | Accidental Deaths & Suicides in India (ADSI) - 1972 | Accidental Deaths & Suicides in India (ADSI) - 1973 | Accidental Deaths & Suicides in India (ADSI) - 1974 | Accidental Deaths & Suicides in India (ADSI) - 1980 | Accidental Deaths & Suicides in India (ADSI) - 1981 | Accidental Deaths & Suicides in India (ADSI) - 1982 | Accidental Deaths & Suicides in India (ADSI) - 1983 | Accidental Deaths & Suicides in India (ADSI) - 1984 | Accidental Deaths & Suicides in India (ADSI) - 1985 | Accidental Deaths & Suicides in India (ADSI) - 1986 | Accidental Deaths & Suicides in India (ADSI) - 1987 | Accidental Deaths & Suicides in India (ADSI) - 1988 | Accidental Deaths & Suicides in India (ADSI) - 1989 | Accidental Deaths & Suicides in India (ADSI) - 1990 | Accidental Deaths & Suicides in India (ADSI) - 1991
Ministry of Road Transport and Highways,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles,35,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Andaman and Nicobar Islands | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Andhra Pradesh | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Arunachal Pradesh | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Assam | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Bihar | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Chandigarh | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Chhattisgarh | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Dadra and Nagar Haveli | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Daman and Diu | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Delhi | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Goa | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Gujarat | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Haryana | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Himachal Pradesh | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Jammu and Kashmir | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Jharkhand | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Karnataka | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Kerala | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Lakshadweep | Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Madhya Pradesh
"Ministry of Home Affairs, Department of Home, Registrar General and Census Commissioner, India",Village/Town-wise Primary Census Abstract,34,"Village/Town-wise Primary Census Abstract, 2011 - ANDAMAN & NICOBAR ISLANDS | Village/Town-wise Primary Census Abstract, 2011 - ANDHRA PRADESH | Village/Town-wise Primary Census Abstract, 2011 - ARUNACHAL PRADESH | Village/Town-wise Primary Census Abstract, 2011 - ASSAM | Village/Town-wise Primary Census Abstract, 2011 - BIHAR | Village/Town-wise Primary Census Abstract, 2011 - CHANDIGARH | Village/Town-wise Primary Census Abstract, 2011 - CHHATTISGARH | Village/Town-wise Primary Census Abstract, 2011 - DADRA & NAGAR HAVELI | Village/Town-wise Primary Census Abstract, 2011 - DAMAN & DIU | Village/Town-wise Primary Census Abstract, 2011 - GOA | Village/Town-wise Primary Census Abstract, 2011 - GUJARAT | Village/Town-wise Primary Census Abstract, 2011 - HARYANA | Village/Town-wise Primary Census Abstract, 2011 - HIMACHAL PRADESH | Village/Town-wise Primary Census Abstract, 2011 - JAMMU & KASHMIR | Village/Town-wise Primary Census Abstract, 2011 - JHARKHAND | Village/Town-wise Primary Census Abstract, 2011 - KARNATAKA | Village/Town-wise Primary Census Abstract, 2011 - KERALA | Village/Town-wise Primary Census Abstract, 2011 - LAKSHADWEEP | Village/Town-wise Primary Census Abstract, 2011 - MADHYA PRADESH | Village/Town-wise Primary Census Abstract, 2011 - MAHARASHTRA"
"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",Prison Statistics,19,Prison Statistics - 1995 | Prison Statistics - 1996 | Prison Statistics - 1997 | Prison Statistics - 1998 | Prison Statistics - 1999 | Prison Statistics - 2000 | Prison Statistics - 2007 | Prison Statistics - 2008 | Prison Statistics - 2009 | Prison Statistics - 2010 | Prison Statistics - 2011 | Prison Statistics - 2012 | Prison Statistics - 2013 | Prison Statistics - 2014 | Prison Statistics - 2015 | Prison Statistics - 2016 | Prison Statistics - 2017 | Prison Statistics - 2018 | Prison Statistics - 2019
Ministry of Road Transport and Highways,Motor Transport Statistics,17,Motor Transport Statistics: 1970-71 | Motor Transport Statistics: 1974-75 | Motor Transport Statistics: 1975-76 | Motor Transport Statistics: 1976-77 and 1977-78 | Motor Transport Statistics: 1979-80 | Motor Transport Statistics: 1980-81 | Motor Transport Statistics: 1983-84 and 1984-85 | Motor Transport Statistics: 1985-86 and 1986-87 | Motor Transport Statistics: 1987-88 and 1988-89 | Motor Transport Statistics: 1989-91 | Motor Transport Statistics: 1990-91 | Motor Transport Statistics: 1991-1993 | Motor Transport Statistics: 1995 | Motor Transport Statistics: 1996 | Motor Transport Statistics: 1997-1998 | Motor Transport Statistics: 1999-2000 | Motor Transport Statistics: 2001-2002
Ministry of Road Transport and Highways,Road Accidents,8,Road Accidents in India - 2017 | Road Accidents in India 2018 | Road Accidents in India 2019 | Road Accidents in India 2020 | Road Accidents in India 2021 | Road Accidents in India 2022 | Road Accidents in India 2023 | Road Accidents in India 2024
Ministry of Road Transport and Highways,Basic Road Statistics,7, Basic Road Statistics of India 2017-18  | Basic Road Statistics of India 2016-17 | Basic Road Statistics of India 2018-19 | Basic Road Statistics of India 2020-21 | Basic Road Statistics of India 2021-22 | Basic Road Statistics of India : 2013-14 and 2014-15 | Basic Road Statistics of India : 2015-16 and 2016-17
Ministry of Petroleum and Natural Gas,Indian Petroleum and Natural Gas Statistics,6,Indian Petroleum and Natural Gas Statistics  - 2016-17 | Indian Petroleum and Natural Gas Statistics - 2017-18 | Indian Petroleum and Natural Gas Statistics - 2018-19 | Indian Petroleum and Natural Gas Statistics - 2019-20 | Indian Petroleum and Natural Gas Statistics - 2020-21 | Indian Petroleum and Natural Gas Statistics - 2022-23
Ministry of Road Transport and Highways,Road Transport Year Book,5,Road Transport Year Book 2016-17 | Road Transport Year Book 2017-18 & 2018-19 | Road Transport Year Book 2019-20 | Road Transport Year Book : 2013-14 and 2014-15 | Road Transport Year Book: 2015-16
