ministry,proposed_new_catalog_title,n_catalogs,original_catalog_titles
"Ministry of Finance, Department of Economic Affairs",Union Budget,4,Union Budget 2022-23 | Union Budget 2023-24 | Union Budget: 2018-19 | Union Budget: 2021-22
"Ministry of Home Affairs, Department of States, National Crime Records Bureau (NCRB)",Prison Statistics India (PSI),4,Prison Statistics India (PSI) - 2020 | Prison Statistics India (PSI) - 2021 | Prison Statistics India (PSI) - 2022 | Prison Statistics India (PSI) - 2023
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Housing & Slums : Nagpur,3,Housing & Slums  :  Nagpur | Housing & Slums : Nagpur | Housing & Slums : Nagpur 
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Solid Waste Management : Nagpur,3,Solid Waste Management   :   Nagpur | Solid Waste Management  :  Nagpur | Solid Waste Management : Nagpur
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Demographic Profile : Nagpur,3,Demographic Profile   :  Nagpur | Demographic Profile  :  Nagpur | Demographic Profile  : Nagpur
Ministry of Civil Aviation,"Fleet, Personnel and Financial Statistics",2,"Fleet, Personnel and Financial Statistics 2015-16 | Fleet, Personnel and Financial Statistics 2016-17"
Ministry of Earth Sciences,Yearly and Seasonal Frequency of Cyclones and Depressions,2, Yearly and Seasonal Frequency of Cyclones and Depressions | Yearly and Seasonal Frequency of Cyclones and Depressions
"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",Status of Water Quality,2,Status of Water Quality in India - 2008 and 2011 | Status of Water Quality in India - 2012
"Ministry of Environment, Forest and Climate Change, Central Pollution Control Board",Water Quality,2,Water Quality in India - 2013 | Water Quality in India - 2014
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Buses : Nagpur,2,Buses  :  Nagpur | Buses : Nagpur
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Water Consumption,2,Water Consumption : Chandigarh | Water Consumption in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Diseases,2,Diseases : Chandigarh | Diseases in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Health Infrastructure,2,Health Infrastructure : Chandigarh | Health Infrastructure in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Andhra Pradesh, Amravati",Governance : Amaravati,2,Governance : Amaravati | Governance : Amaravati 
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Karnataka, Belagavi",Solid Waste Management Belagavi,2,Solid Waste Management  Belagavi | Solid Waste Management Belagavi
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Roads,2,Roads : Chandigarh | Roads in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Tamil Nadu, Salem",VAT & GST : Salem,2,VAT & GST : Salem | VAT & GST : Salem 
Ministry of Civil Aviation,Air Traffic Statistics,2,Air Traffic Statistics 2015-16 | Air Traffic Statistics 2016-17
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Transportation : Nagpur,2,Transportation : Nagpur | Transportation : Nagpur 
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Community Facilities,2,Community Facilities : Chandigarh | Community Facilities in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Digital availability,2,Digital availability : Chandigarh | Digital availability in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Odisha, Bhubaneswar",Health Infrastructure Bhubaneswar,2,Health Infrastructure Bhubaneswar | Health Infrastructure Bhubaneswar 2019
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Punjab, Amritsar",Digital Availability Amritsar,2,Digital  Availability Amritsar  | Digital Availability Amritsar 
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Madhya Pradesh, Sagar",Census Data : Sagar,2,Census Data :  Sagar | Census Data : Sagar
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Assam, Guwahati",Statement of revenue earned by water works department-guwahati,2,Statement of revenue earned by water works department-guwahati-2017-18 | Statement of revenue earned by water works department-guwahati-2019-2020 
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Water Tax,2,Water Tax : Chandigarh | Water Tax in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Environment,2,Environment : Chandigarh | Environment in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Property Tax,2,Property Tax : Chandigarh | Property Tax in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Chandigarh",Open Spaces,2,Open Spaces : Chandigarh | Open Spaces in Chandigarh
"Ministry of Housing and Urban Affairs, Smart Cities Mission, Maharashtra, Nagpur",Financial Health : Nagpur,2,Financial Health  :  Nagpur | Financial Health : Nagpur
