exact_merge_group_id,n_rows,flags,contrasting_or_subset,n_unexplained_tokens,unexplained_tokens,n_states,merge_add_columns,sample_titles
237,733,"contrasting,unexplained,geo_unnamed",rural/urban,751,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,29,,"Enrolment by Location, School Management, School Category and Social Category in Pune District of Maharashtra (UDISE plus) during 2019-20 | Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
242,733,"contrasting,unexplained,geo_unnamed",rural/urban,751,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,29,,"Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
244,733,"contrasting,unexplained,geo_unnamed",rural/urban,751,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,29,,"Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2019-20 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2019-20"
245,2827,"contrasting,unexplained,geo_unnamed",rural/urban,744,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,29,,"Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Teachers by Gender, Academic Qualification, Professional Qualification, Classes Taught, School Category and School Management in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2018-19"
243,4421,"contrasting,unexplained,geo_unnamed",rural/urban,744,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,29,,"Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2018-19 | Number of Schools by Availability of Infrastructure and Facilities, School Management and School Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2018-19"
238,2781,"contrasting,unexplained,geo_unnamed",rural/urban,739,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,27,,"Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2017-18 | Enrolment by Location, School Management, School Category and Social Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2017-18"
239,1948,"unexplained,geo_unnamed",,692,adilabad agar agra ahmadnagar ahmedabad aizawl ajmer akola alappuzha aligarh alipurduar alirajpur,27,,"Enrolment by Location, School Management, School Category and Social Category in Andamans District of Andaman and Nicobar Islands (UDISE plus) during 2012-13 | Enrolment by Location, School Management, School Category and Social Category in Nicobars District of Andaman and Nicobar Islands (UDISE plus) during 2012-13"
670,608,"unexplained,geo_unnamed",,621,adilabad agra ahmadabad ahmadnagar aizawl ajit ajmer akola alappuzha aligarh alirajpur allahabad,24,,"Town Amenities for Adilabad District of Andhra Pradesh, 2011 | Town Amenities for Anantapur District of Andhra Pradesh, 2011"
671,596,"unexplained,geo_unnamed",,618,adilabad agra ahmadabad ahmadnagar aizawl ajit ajmer akola alappuzha aligarh alirajpur allahabad,23,,"Village Amenities for Adilabad District of Andhra Pradesh, 2011 | Village Amenities for Anantapur District of Andhra Pradesh, 2011"
423,593,"unexplained,geo_unnamed",,602,adilabad agra ahmadabad ahmadnagar aizawl ajmer akola alappuzha aligarh allahabad almora alwar,27,,"Final Population Totals for Kupwara District of Jammu & Kashmir, 2001 | Final Population Totals for Baramula District of Jammu & Kashmir, 2001"
