Sector Name,Sub-sector Name
Census and Surveys,Annual Health Survey
Census and Surveys,Census
Census and Surveys,Civil Registration System
Census and Surveys,National Population Register
Census and Surveys,Sample Registration System
Census and Surveys,Socio-economic & Caste Census
Census,House listing and Housing Census
Census,Population Enumerator
Agriculture,Agricultural Marketing
Agriculture,Dairying
Agriculture,Agricultural Produces
Agriculture,Agricultural Research & Extension
Agriculture,Animal Husbandry
Agriculture,Crops
Agriculture,Fertilizers
Agriculture,Horticulture
Agriculture,Irrigation
Agriculture,Organic farming
Agriculture,Plant Protection
Agriculture,Seeds
Agriculture,Soil and Water Conservation
Agriculture,Fisheries
Agriculture,Sericulture
Animal Husbandry,Fishery
Art and Culture,Archaeology
Art and Culture,Dance
Art and Culture,Festivals
Art and Culture,Handicrafts
Art and Culture,Heritage
Art and Culture,Literature
Art and Culture,Monuments
Art and Culture,Music
Art and Culture,Painting
Art and Culture,Theatre
Commerce,Companies
Commerce,Export
Commerce,Import
Commerce,SEZs
Commerce,Trade promotion
Parliament Of india,Rajya Sabha
Parliament Of india,Lok Sabha
Water and Sanitation,Drinking Water
Water and Sanitation,Sanitation
Information and Communications,Information and Technology
Information and Communications,Post
Information and Communications,Telecom
Defence,Air Force
Defence,Army
Defence,Navy
Defence,Para Military Forces
Economy,Prices
Economy,Macro Economy
Education,Adult Education
Education,Elementary
Education,Higher Education
Education,Secondary
Environment and Forest,Bio-diversity
Environment and Forest,Biomedical Waste
Environment and Forest,Ecology
Environment and Forest,Forest
Environment and Forest,Forest Resources
Environment and Forest,Hazardous Waste
Environment and Forest,Industrial Air Pollution
Environment and Forest,Municipal Waste
Environment and Forest,Noise Pollution
Environment and Forest,Residential Air Pollution
Environment and Forest,Vehicular Air Pollution
Environment and Forest,Water Quality
Environment and Forest,Natural Resources
Environment and Forest,Sanitation
Environment and Forest,Wild life
Water Resources,Drinking Water
Water Resources,Ground Water
Water Resources,Surface Water
Finance,Banking
Finance,Economy
Finance,Revenue
Finance,Insurance
Finance,Pension Reforms
Food,Consumer Affairs
Food,Consumer Cooperatives
Food,Public Distribution
Foreign Affairs,Consulates
Foreign Affairs,Embassy
Foreign Affairs,NRI
Foreign Affairs,Passport
Foreign Affairs,Visa
Governance and Administration,Constitution
Governance and Administration,District Adminstration
Governance and Administration,Grievances
Governance and Administration,Local Government
Governance and Administration,Lok Sabha
Governance and Administration,Pensions
Governance and Administration,Rajya Sabha
Governance and Administration,State Legislative
Governance and Administration,Union/State Government Administration
Health and Family welfare,Family Welfare
Health and Family welfare,Health
Home Affairs and Enforcement,Enforcement Organizations
Home Affairs and Enforcement,Internal Security
Home Affairs and Enforcement,Police
Housing,EWS Housing
Housing,Rural Housing
Housing,Urban Housing
Industries,Chemicals and Petrochemicals
Industries,Corportae governance
Industries,Cottage
Industries,Defence Products
Industries,Food Processing
Industries,Heavy
Industries,Insurance
Industries,Manufacturing
Industries,Medium
Industries,Micro
Industries,Petroleum and Natural Gas
Industries,Pharmaceuticals
Industries,Retail
Industries,Small Scale
Industries,Textiles
Industries,Tourism
Textiles,Sericulture
Information and Broadcasting,Broadcasting
Information and Broadcasting,Film
Information and Broadcasting,Print Media
Infrastructure,Bridges
Infrastructure,Dams
Infrastructure,Power
Infrastructure,Roads
Urban,Development
Judiciary,District Court
Judiciary,High Court
Judiciary,Subordinate Court
Judiciary,Supreme Court
Labour and Employment,Employment
Labour and Employment,Organized Sector Workers
Labour and Employment,Unorganized Sector Workers
Power and Energy,Non Renewable
Power and Energy,Renewable
Rural,Development
Rural,Land Resources
Rural,Panchayati Raj
Science and Technology,Atmospheric Science
Science and Technology,Coastal & Island
Science and Technology,Earth Sciences
Science and Technology,Geo Technology
Science and Technology,Marine Science
Science and Technology,Polar Science
Science and Technology,Research & Development
Social Development,Children
Social Development,Disabled
Social Development,Minority
Social Development,Tribal
Social Development,Women
Transport,Aviation
Transport,Metro
Transport,Railways
Transport,Road Transport
Transport,Water ways
Travel and Tourism,Lodging
Travel and Tourism,Modes of Travel
Travel and Tourism,Places
Youth and Sports,Games
Youth and Sports,Youth Affairs
